Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2007 00:00:00,,,344.27,83.168,,161.804,,,,,,,,,,,320.896,,,,,,,,
12/31/2008 00:00:00,,3.563007,416.783,115.288,,212.943,381.66,0,0,,,496.139,90.928,114.479,,,389.413,0,,,,,,,
12/31/2009 00:00:00,0,3.408967,426.082,106.451,,205.097,188.134,0,0,19.93302,37.364732,571.948,358.735,383.814,1.874514,,,0,,,,,,,
12/31/2010 00:00:00,0,9.582298,437.104,99.396,43.413991,197.232,175.874,0,0,24.06508,53.936177,254.112,48.816,78.238,2.269346,,,0,22.86,25.86,29.46,51.96,1,1,1
12/31/2011 00:00:00,0,3.182334,508.144,139.406,47.063473,275.726,236.27,0,0,47.907488,66.278776,327.868,52.287,91.598,1.412079,,,0,25.86,29.46,51.96,63.42,1,1,1
12/31/2012 00:00:00,,2.695579,512.338,157.395,32.200794,275.582,239.122,0,0,47.214298,65.316202,338.858,52.15,99.736,1.402476,,,0,29.46,51.96,63.42,64.9,1,1,1
12/31/2013 00:00:00,0,10.928236,572.05,175.999,27.713383,320.302,284.517,0,0,45.102102,66.405673,441.589,107.458,157.072,1.490429,,,0,51.96,63.42,64.9,73.89,1,1,1
12/31/2014 00:00:00,0,4.366757,617.225,189.714,45.558909,353.714,250.067,0,0,45.963973,70.48172,383.901,73.665,133.834,1.544173,520,,0,63.42,64.9,73.89,124.59,0,0,1
12/31/2015 00:00:00,0,4.799282,634.545,205.023,51.406959,366.202,259.645,0,0,53.34355,80.094249,384.788,73.997,125.143,1.508085,564,,0,64.9,73.89,124.59,,1,1,
12/31/2016 00:00:00,0,5.953583,703.1,186.8,36.968894,342.6,330.5,0,0,43.366826,64.029643,476.7,89.9,146.2,1.491638,553,566.4,0,73.89,124.59,,,1,,
12/31/2017 00:00:00,,,2229.1,401.7,16.637713,564.1,3120,0,1237.9,13.990666,23.141315,5265.7,334,2145.7,1.674902,899,995.6,0,124.59,,,,,,
12/31/2017 00:00:00,0,5.953583,1350.7,401.7,20.3702594157541,564.1,3120,0,1237.9,13.9906659236556,23.152982353799,5265.7,334,2145.7,1.75232529013943,899,,0,124.59,,,,,,
