Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1987 00:00:00,0,,3705.783936,500.197998,,1671.394958,3936.171021,51.554001,2723.38208,,,8511.793945,417.372986,4575.623108,,,2499.794922,51.554001,,,,,,,
12/31/1988 00:00:00,0,,3626.985107,550.385986,3.888462,1534.57605,4135.953979,43.318001,2728.793945,6.325403,14.880462,8890.605469,460.237,4754.65094,2.60489,19600,2413.649048,43.318001,,,,,,,
12/31/1989 00:00:00,0,,3639.339111,571.611023,5.950166,1617.283997,4339.856934,175.184998,2822.441895,6.202039,14.621546,9542.398438,686.937012,5202.540894,2.595852,19400,2464.93811,175.184998,,,,,,,
12/31/1990 00:00:00,0,,3681.467041,538.187988,4.321192,1484.763,4566.783081,190.662003,3102.746094,5.484465,12.994836,10083.506836,685.677979,5516.724121,2.626134,19400,2479.799072,190.662003,,,,,,,
12/31/1991 00:00:00,0,,3816.959961,583.622986,4.747905,1620.106018,4806.448059,192.251999,3159.574951,5.67889,13.41974,10470.615234,742.135986,5664.166992,2.607394,18200,2613.39502,192.251999,,,,,,,
12/31/1992 00:00:00,0,,3961.483887,508.083008,2.219844,1675.223999,4931.646057,132.826996,3202.437012,4.77692,10.993851,10801.793945,708.124023,5870.148071,2.588866,18727,2761.050903,132.826996,,,,,,,
12/31/1993 00:00:00,0,,4281.875977,626.414978,4.642804,1874.093017,5120.234009,108.398003,3285.396973,5.448295,13.524071,12193.107422,808.687988,7072.873047,2.708992,18274,3014.596924,108.398003,,,,,,,
12/31/1994 00:00:00,0,,4488.913086,638.875977,4.414195,1827.341065,5313.82898,199.358994,3567.12207,5.09972,13.283305,12862.227539,766.742004,7548.398986,2.824548,17052,3230.539063,199.358994,,,,,,,
12/31/1995 00:00:00,0,,4676.684082,714.538025,5.492996,2023.867004,5469.18396,167.371002,3711.405029,5.45018,14.287059,13358.484375,769.177002,7889.300049,2.813981,17121,3464.165039,167.371002,,,,,,,
12/31/1996 00:00:00,7.646,,12302.400391,1074.300049,7.809802,3297.052124,8108.599709,810.299988,5485.100098,6.014329,16.989402,22366.199219,3309.5,14257.600098,2.946029,,5672.800293,810.299988,,,,,,,
12/31/1997 00:00:00,,,16308.900391,974.400024,2.948747,2952.5,8536.000198,246.800003,6530,4.200453,12.117547,24028.800781,3275.199951,15492.800049,3.117755,23000,5900.700195,246.800003,48.2502,55.9462,43.7745,74.4494,1,0,1
12/31/1998 00:00:00,,,17610,1252,5.635885,3488,9635,916,6272,4.925759,15.691823,26806,4927,17171,3.240011,22000,6430,916,55.9462,43.7745,74.4494,68.572,0,1,0
