Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1987 00:00:00,116.099998,,3137.899902,205.399994,,554.100006,1076.099994,36.200001,794.900024,,,3026.199951,625.5,1950.100037,,43000,898.099854,36.200001,,,,,,,
12/31/1988 00:00:00,121.699997,,3468.5,202.300003,12.906328,551.199997,1158.599976,48.299999,654.599976,6.676568,18.062207,3033.800049,826.799988,1875.199951,2.712016,43000,949.5,48.299999,,,,,,,
12/31/1989 00:00:00,123.300003,,3671,224.899994,12.637185,567.599991,1144.700012,61.700001,836.200012,7.391461,19.528502,3051.600098,615.599976,1906.899994,2.642035,43000,943,61.700001,,,,,,,
12/31/1990 00:00:00,128,,3639,179,8.99371,473,1140,60,755,5.90311,15.669453,3013,633,1873,2.65444,40000,888,60,,,,,,,
12/31/1991 00:00:00,124,,3381,74,-1.041037,304,1153,132,795,2.42623,6.454427,3087,699,1934,2.66027,40000,773,132,,,,,,,
12/31/1992 00:00:00,141,,3869,-128,-5.603171,413,948,49,833,-4.140385,-12.184674,3096,655,2148,2.942884,38743,912,49,,,,,,,
12/31/1993 00:00:00,154,,4401,173,9.082102,513,1105,124,649,5.436832,16.853385,3268,787,2163,3.099854,38743,1117,124,,,,,,,
12/31/1994 00:00:00,213,,6052,333,17.378815,811,1680,449,1053,8.377358,23.913824,4682,1102,3002,2.854578,,1655,449,,,,,,,
12/31/1995 00:00:00,227,,6822,399,15.485636,921,1975,50,1084,8.197227,21.833105,5053,1145,3078,2.663475,52000,1794,50,,,,,,,
12/31/1996 00:00:00,267,,6961,349,10.882709,854,2160,30,1062,6.737452,16.88029,5307,1230,3147,2.505441,54000,1796,30,,,,,,,
12/31/1997 00:00:00,319,,7563,410,13.867269,1042,2071,104,1272,7.513974,19.380761,5606,1357,3535,2.579296,49000,2107,104,18.9674,15.3339,15.7542,16.31,0,0,0
12/31/1998 00:00:00,334,,6625,349,10.804264,813,2057,333,1191,6.192884,16.908915,5665,1516,3608,2.730378,49500,1866,333,15.3339,15.7542,16.31,18.6025,0,0,0
12/31/1999 00:00:00,262,,8005,617,20.765998,1124,2624,970,1915,8.809881,26.361888,8342,2568,5718,2.992309,63000,2213,970,15.7542,16.31,18.6025,19.5275,0,0,0
12/31/2000 00:00:00,269,,8309,453,11.70093,1111,2410,557,2447,5.483598,17.997616,8180,2107,5770,3.282082,59000,2217,557,16.31,18.6025,19.5275,26.995,1,0,1
12/31/2001 00:00:00,228,,7299,169,2.006141,797,2475,188,2252,2.135726,6.91914,7646,1669,5171,3.239713,49000,1796,188,18.6025,19.5275,26.995,36.18,0,1,1
12/31/2002 00:00:00,203,,7209,281,6.61503,893,2302,201,1887,3.801407,11.764706,7138,1734,4836,3.094829,48000,1937,201,19.5275,26.995,36.18,33.545,1,1,1
12/31/2003 00:00:00,47,,8061,386,9.220889,984,3117,302,1651,5.025714,14.246171,8223,2126,5106,2.834656,51000,2164,302,26.995,36.18,33.545,37.57,1,1,1
12/31/2004 00:00:00,261,,9817,648,14.428083,1287,3606,39,1734,7.492196,19.277108,9075,2262,5469,2.572959,55000,2735,39,36.18,33.545,37.57,48.475,0,0,1
12/31/2005 00:00:00,285,,11019,805,16.782727,1454,3778,634,1830,8.344996,21.8039,10218,2968,6440,2.612811,59000,3083,634,33.545,37.57,48.475,24.855,1,1,0
12/31/2006 00:00:00,315,,12232,950,18.188765,1463,4106,812,1774,8.782066,24.099442,11417,3290,7311,2.744165,60000,3283,812,37.57,48.475,24.855,31.81,1,0,0
12/31/2007 00:00:00,335,16.017165,13033,994,15.818914,1646,5172,985,2432,8.000966,21.427032,13430,3659,8258,2.678056,64000,3651,985,48.475,24.855,31.81,50.755,0,0,0
12/31/2008 00:00:00,417,10.077836,15376,1058,12.831231,1826,6317,1081,3190,7.033405,18.417617,16655,3745,10338,2.618592,75000,4185,1081,24.855,31.81,50.755,43.53,1,1,1
12/31/2009 00:00:00,395,8.536007,11873,383,0.748434,1017,6818,118,3349,2.325652,5.850008,16282,2689,9464,2.515427,,3091,118,31.81,50.755,43.53,54.2,1,1,1
12/31/2010 00:00:00,425,12.798596,13715,929,8.006224,1722,7403,76,3382,5.540645,13.140958,17252,3233,9849,2.371738,,4082,76,50.755,43.53,54.2,76.12,0,0,1
12/31/2011 00:00:00,417,13.58601,16049,1350,11.974917,2189,7492,407,3366,7.686833,18.205111,17873,3637,10381,2.36835,,4788,407,43.53,54.2,76.12,67.96,1,1,1
12/31/2012 00:00:00,439,20.407164,16311,1217,6.243911,2128,15178,1071,9765,4.534024,10.778496,35810,5515,20632,2.377247,103000,4863,1071,54.2,76.12,67.96,52.04,1,1,0
12/31/2013 00:00:00,644,23.097458,22046,1861,6.676279,3144,16863,580,8969,5.220123,11.666249,35491,4914,18628,2.234861,,6677,580,76.12,67.96,52.04,67.09,0,0,0
12/31/2014 00:00:00,647,16.747752,22552,1793,5.304356,2788,15839,1010,8024,5.195595,11.007766,33529,5355,17690,2.118673,102000,6906,1010,67.96,52.04,67.09,79.01,0,0,0
12/31/2015 00:00:00,625,15.649592,20855,1979,6.153945,3267,15231,668,7746,6.134057,12.779285,30996,4625,15765,2.083333,97000,6563,668,52.04,67.09,79.01,,1,1,
12/31/2016 00:00:00,589,30.472576,19747,1916,5.905773,3173,14998,1566,6711,6.233732,12.714001,30476,5485,15478,2.039549,95000,6338,1566,67.09,79.01,,,1,,
12/31/2017 00:00:00,584,15.178141,20404,2985,11.904244,3413,17290,584,7167,9.461323,18.536343,32623,5075,15333,1.95917,96000,6648,584,79.01,,,,,,
12/31/2017 00:00:00,584,15.178141,20404,2980,10.7704312962119,3405,17290,584,7167,9.44547457170478,18.5052938802124,32623,5075,15333,1.93074513975064,96000,6640,584,79.01,,,,,,
