Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1998 00:00:00,,,566.119995,61.09,,,,,,,,,,,,,,,,,,,,,
12/31/1999 00:00:00,,,681.171997,74.628998,,163.243,275.37999,1.288,0,,,495.255005,204.121994,219.874994,,,214.792999,1.288,,,,,,,
12/31/2000 00:00:00,,,778.562012,88.461998,29.729729,189.856998,329.524012,0.549,0,17.733186,29.729729,502.445007,160.251007,172.921007,1.676502,5700,242.811035,0.549,,,,,,,
12/31/2001 00:00:00,,,935.971,87.076,32.522414,197.096,211.865,0.423,230,14.059846,32.522414,736.203,260.566,524.338,2.313142,6200,249.383,0.423,19.0621,13.6755,18.2711,19.7919,0,0,0
12/31/2002 00:00:00,,,1007.968,89.984,43.861684,203.229,198.443,0,214.2,12.512167,43.861684,702.141,250.93,503.698,3.505523,5861,277.528,0,13.6755,18.2711,19.7919,22.5938,1,1,1
12/31/2003 00:00:00,,,1015.464,92.402,37.418918,214.071,261.139,,222.399,12.426405,40.211322,785.047,244.093,523.908,3.235958,4985,282.702,,18.2711,19.7919,22.5938,22.332,0,1,0
12/31/2004 00:00:00,,,1039.506,103.612,32.152802,232.186,300.063,0,273.968,12.13784,36.925029,922.209,290.338,622.146,3.042142,5300,298.175,0,19.7919,22.5938,22.332,23.1676,1,0,0
12/31/2005 00:00:00,113.498,,2766.085,196.55,34.377705,736.316,707.63,33.673,2530.455,7.690908,39.522115,4189.021,597.798,3481.391,5.13881,19323,972.8,33.673,22.5938,22.332,23.1676,16.27,0,0,0
12/31/2006 00:00:00,105.58,,4042.163,259.087,-27.655361,996.637,3155.714,105.591,2947.84,4.38403,13.50356,7630.56,880.515,4474.846,3.08017,24871,1166.913,105.591,22.332,23.1676,16.27,23.44,0,0,0
12/31/2007 00:00:00,70.4,15.561513,2921,561.2,13.70809,778.746,3795.373,401.813,4003.383,6.441267,16.210463,9794.583,1254.214,5999.21,2.516658,31000,655.2,401.813,23.1676,16.27,23.44,27.39,0,0,0
12/31/2008 00:00:00,,10.101473,3427.7,214.8,,801.3,3697,188.8,2409,2.483957,5.873684,7500.4,816.5,3803.4,2.364648,26000,738.4,188.8,16.27,23.44,27.39,26.59,1,1,1
12/31/2009 00:00:00,0,25.296619,3711.1,105.9,0.953133,724.6,8518.6,359,3016.6,0.985208,1.788595,13997.6,1234.7,5479,1.815449,31000,969.6,359,23.44,27.39,26.59,34.81,1,0,1
12/31/2010 00:00:00,,25.761432,5269.5,404.5,4.565197,1434.3,6561.6,397.5,4935.2,2.871452,5.498875,14176.3,1300.4,7614.7,1.915016,33000,1631.8,397.5,27.39,26.59,34.81,53.68,0,1,1
12/31/2011 00:00:00,0,11.106501,5625.6,469.6,6.313066,1724.9,6651.2,400.4,4550.6,3.351341,7.277123,13848.3,1354.9,7197.1,2.171406,33000,1706.5,400.4,26.59,34.81,53.68,62.2,1,1,1
12/31/2012 00:00:00,0,12.662094,5807.6,461.2,3.986222,1741.4,6793.6,153.9,4231.6,3.366669,7.017704,13549.7,1256.8,6756.1,2.084465,35000,1860.7,153.9,34.81,53.68,62.2,60.6,1,1,1
12/31/2013 00:00:00,0,14.144081,6063.4,493.1,3.49513,1697.4,6737.3,128.8,4339.8,3.584904,7.459119,13960.1,1672.7,7222.8,2.080702,38000,1970.7,128.8,53.68,62.2,60.6,75.64,1,0,1
12/31/2014 00:00:00,0,8.485,6413.8,679.1,6.244952,1916.6,6691.5,13.1,5054.6,4.76886,10.338581,14520.5,1598.9,7829,2.167935,40000,2085.5,13.1,62.2,60.6,75.64,94.09,0,1,1
12/31/2015 00:00:00,0,18.305692,6596,632,4.268212,1768,9407,15,11429,3.104088,7.960851,26200,2364,16793,2.564635,55000,2201,15,60.6,75.64,94.09,,1,1,
12/31/2016 00:00:00,0,20.020448,9241,568,2.123138,2472,9845,332,10146,2.174954,5.959501,26031,3151,16186,2.740059,55000,3008,332,75.64,94.09,,,1,,
12/31/2017 00:00:00,0,,9123,1319,8.816096,2883,10944,1045,7718,5.218802,12.820762,24517,3923,13573,2.456649,53000,2942,1045,94.09,,,,,,
12/31/2017 00:00:00,0,20.020448,9123,1319,11.4421408377985,2883,10944,1045,7718,5.21880193083802,12.8207620528771,24517,3923,13573,2.34442843419789,53000,2942,1045,94.09,,,,,,
