Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1987 00:00:00,2514000,,79893000,4625200.195,,11096600.098,18622399.582,40394699.219,28066699.219,,,114827601.562,57280699.219,96205198.242,,351700,12284101.562,40394699.219,,,,,,,
12/31/1988 00:00:00,2930000,,92445601.562,5300200.195,20.922151,11572800.049,21693100.006,53818300.781,36487800.781,4.121725,26.486632,142356000,72659296.875,120662897.461,6.426104,358900,13094804.688,53818300.781,,,,,,,
12/31/1989 00:00:00,3167000,,96145898.438,3835000,10.988142,9807400.391,23694600.784,61440601.562,41609699.219,2.535171,17.33067,160187703.125,80420203.125,136493102.539,6.836095,366600,11687398.438,61440601.562,,,,,,,
12/31/1990 00:00:00,3558000,,97650000,860099.976,-2.299531,6414200.074,24186000.824,65725500,47686500,0.516153,3.742339,173085796.875,85148703.125,148899802.734,7.250451,370400,8396703.125,65725500,,,,,,,
12/31/1991 00:00:00,3728000,,88286296.875,-2258000,,3364799.805,23663099.32,60174300.781,54120898.438,-1.300094,-9.928497,174273796.875,80776101.562,150610700.195,7.563068,332700,5320500,60174300.781,,,,,,,
12/31/1992 00:00:00,4332000,,100132296.875,-7385000,,6894000.198,15979800.263,60037101.562,52497601.562,-4.179618,-40.565018,179107796.875,81426898.438,163128000,9.43783,325333,8384000,60037101.562,,,,,,,
12/31/1993 00:00:00,5021000,,108521000,2529000,9.516335,11169000,17193000,65970000,56915000,1.337933,14.779007,198938000,89571000,181745000,12.465733,322213,13675000,65970000,,,,,,,
12/31/1994 00:00:00,5214000,,128439000,5308000,22.039589,18019000,23534000,155000,130816000,2.53794,26.970698,219354000,27832000,195820000,11.234443,337728,20629000,155000,,,,,,,
12/31/1995 00:00:00,6624000,,137137000,4139000,11.425029,18400000,25229000,1832000,146792000,1.789308,17.000266,243283000,34252000,218054000,10.24349,346990,26542000,1832000,,,,,,,
12/31/1996 00:00:00,6821000,,146991000,4446000,10.675166,18915000,27442000,1661000,156700000,1.756791,17.674944,262867000,37865000,235425000,10.210195,371702,28405000,1661000,,,,,,,
