Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
6/28/2003 00:00:00,47000,,4669665.039,428440.002,,641871.979,2237447.998,949484.985,10054,,,3915572.998,1628874.023,1678125.022,,,1659281.982,949484.985,,,,,,,
7/3/2004 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2005 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2006 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2007 00:00:00,45409,7004.224,4474537,126127,,563976,288904,19577,2315250,,,3439483,688982,3150579,,,1440910,19577,6.96,3.0075,6.1425,6.3275,False,False,False
1/3/2009 00:00:00,46460,11668.635,4248770,127169,53.651128,482888,185155,107374,2130907,3.647191,53.651128,3534049,748284,3348894,14.710262,,1377350,107374,3.295,6.175,6.4025,5.5475,True,True,True
1/2/2010 00:00:00,46305,5750.172,3891275,51283,19.729011,367611,334719,231369,1727547,1.494998,19.729011,3326564,878975,2991845,13.196684,47400,1265274,231369,6.0275,6.4025,5.5475,8.8975,False,False,True
1/1/2011 00:00:00,47082,9847.832,4146012,211293,47.090405,467477,562674,140678,1990735,5.938061,47.090405,3790002,829350,3227328,7.930267,55500,1375838,140678,6.35,5.465,8.955,17.5675,False,True,True
12/31/2011 00:00:00,47056,10357.368,4434291,266688,42.88502,537852,681061,230008,1807777,6.816593,42.88502,4034669,933719,3353608,6.291269,53300,1493208,230008,5.465,8.955,17.5675,27.905,True,True,True
12/29/2012 00:00:00,48323,9242.254,4525721,164681,21.006208,533151,886866,200052,1317500,4.296193,21.006208,3631700,875668,2744834,4.889494,51500,1420047,200052,8.745,17.4,28.1175,29.38,True,True,True
12/28/2013 00:00:00,51316,11673.297,4627802,330494,25.556553,606076,1230623,217982,1467000,8.560083,31.215652,4090048,999278,2859425,3.646653,49700,1611693,217982,17.3375,28.1175,28.88,21.53,True,True,False
1/3/2015 00:00:00,63268,11116.508,5324746,404519,21.625242,662156,1386772,369755,1613997,8.700979,30.910046,5208193,1482414,3821421,3.552479,59500,1904407,369755,27.6525,29.28,22.12,21.03,False,False,False
1/2/2016 00:00:00,62324,11943.657,5731549,428855,20.095596,699021,1275891,370604,2232712,7.937509,32.212488,5597590,1503909,4321699,4.058262,65300,2136332,370604,29.43,22.12,21.3,,False,False,
12/31/2016 00:00:00,70096,15871.54,6028199,539382,29.547419,878824,1223914,234760,3507685,8.610776,43.153926,6930480,1625668,5706566,5.011619,67800,2276048,234760,21.57,20.91,,,False,,
12/30/2017 00:00:00,65457,9581.985,6471410,61894,-16.031645,845555,686202,261462,3702054,0.895376,6.480654,6894775,1778745,6208573,7.237914,67200,2490551,261462,20.91,,,,,,
12/30/2017 00:00:00,,9581.985,6471410,61894,,845555,686202,261462,3702054,0.895375889992626,6.48065353098974,6894775,1778745,6208573,7.39320287331234,67200,2490550.95361328,261462,20.91,,,,,,
