Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
4/30/1987 00:00:00,0,,288.263,17.679001,,40.741,107.545998,2.503,4.15,,,152.871994,35.612999,45.325999,,1400,96.093994,2.503,,,,,,,
4/30/1988 00:00:00,0,,314.244995,22.870001,14.953536,45.589999,125.322,0.667,3.081,14.165509,19.64203,170.024994,35.624001,44.703001,1.38661,1500,108.100998,0.667,,,,,,,
4/30/1989 00:00:00,0,,366.855011,27.555,15.455536,52.400001,144.535998,0.677,4.954,14.955955,20.421852,198.457001,41.855999,53.920999,1.365466,1900,126.628006,0.677,,,,,,,
4/30/1990 00:00:00,0,,422.356995,30.177,14.159616,59.451001,167.125002,0.01,4.277,14.258074,19.365272,224.839996,45.742001,57.715001,1.358197,1900,140.906983,0.01,,,,,,,
4/30/1991 00:00:00,0,,454.976013,31.743999,11.981877,63.315998,190.222996,0.44,4.267,13.302351,17.766434,252.429001,50.028999,62.205999,1.335586,1900,159.295013,0.44,,,,,,,
4/30/1992 00:00:00,0,,483.471985,34.118,11.264841,67.259,212.215003,0.43,3.827,12.869933,16.955655,277.768005,53.560001,65.553001,1.317463,1900,169.338989,0.43,,,,,,,
4/30/1993 00:00:00,0,,491.30899,32.945,10.089565,72.789999,220.469004,0,0,11.507582,15.228203,294.811005,56.542999,74.341999,1.323319,1950,177.378997,0,,,,,,,
4/30/1994 00:00:00,0,,485.735992,30.497999,7.535323,65.776998,234.401998,4.327,48.557999,9.057215,13.409516,378.640991,83.195,144.238999,1.480534,2600,174.437988,4.327,,,,,,,
4/30/1995 00:00:00,0,,510.888,36.303001,8.077528,70.72,257.992007,0,67.099998,9.253463,14.745509,405.994995,64.820999,148.002998,1.593512,2600,180.601013,0,,,,,,,
4/30/1996 00:00:00,0,,528.575989,29.313,5.340436,71.466999,276.341009,0,60.799999,7.055324,10.971809,424.951996,67.510002,148.611002,1.555111,1925,191.480988,0,,,,,,,
4/30/1997 00:00:00,0,,524.106995,30.934999,5.564276,75.043,291.890993,0,0,7.640865,10.888158,384.77301,72.015999,92.881998,1.42499,1950,175.15799,0,,,,,,,
4/30/1998 00:00:00,,,565.476013,33.389999,6.491148,79.602999,302.176989,0,0,8.423883,11.241137,407.972992,84.900002,105.796002,1.334437,2000,199.863006,0,25.9893,22.7489,16.9294,27.6796,0,0,0
4/30/1999 00:00:00,,,602.457,37.763,6.774716,82.369,324.329,8.966,0,8.971368,12.055112,433.883,87.631,109.554,1.343732,2100,206.513,8.966,22.7489,16.9294,27.6796,36.7157,0,1,1
4/30/2000 00:00:00,,,641.885,26.357,2.832854,81.925,313.473,0,75,5.857521,8.264947,466.054,58.859,152.581,1.410997,2250,209.024,0,16.9294,27.6796,36.7157,36.28,1,1,1
4/30/2001 00:00:00,,,651.242,27.206,4.138964,78.242,250.785,0,135,5.756921,9.643107,479.104,68.062,228.319,1.675046,2250,207.294,0,27.6796,36.7157,36.28,52.3,1,1,1
4/30/2002 00:00:00,,,687.1479,30.851,5.726196,88.37599,280.1439,0,135,6.145644,11.621518,524.8916,80.43097,244.74796,1.891017,2300,224.9909,0,36.7157,36.28,52.3,49.62,0,1,1
4/30/2003 00:00:00,,,1311.744,96.342,7.871596,214.072,1124.171,,135,9.002669,13.720854,1615.407,167.274,491.236,1.524087,2775,456.081,,36.28,52.3,49.62,39.53,1,1,0
4/30/2004 00:00:00,,,1417.011,111.35,5.527431,227.161,1210.693,0,135,6.749442,9.538029,1684.125,174.883,473.432,1.413158,2950,492.778,0,52.3,49.62,39.53,55.82,0,0,0
4/30/2005 00:00:00,10.397,,2043.877,129.073,4.851548,305.625,1690.8,50.378,431.56,5.975576,8.897006,2635.894,308.292,945.094,1.488895,3700,657.416,50.378,49.62,39.53,55.82,49.88,0,0,0
4/30/2006 00:00:00,10.781,,2154.726,143.354,4.712625,325.478,1728.059,28.62,428.602,5.424284,8.386073,2649.744,235.44,921.685,1.546024,3500,692.852,28.62,39.53,55.82,49.88,39.4,1,1,0
4/30/2007 00:00:00,9.68,9.861022,2148.017,157.219,1.620569,318.115,1795.657,33,392.643,5.884421,8.923477,2693.823,236.468,898.166,1.516458,3025,702.055,33,55.82,49.88,39.4,61.07,0,0,0
4/30/2008 00:00:00,9.547,8.811036,2524.774,170.379,5.665956,357.948,1799.853,,789.684,5.851225,9.47732,3129.881,239.397,1330.028,1.619716,3250,782.164,,49.88,39.4,61.07,75.07,0,1,1
4/30/2009 00:00:00,14.498,10.425587,3757.933,265.953,-8.107904,570.548,4939.931,626.726,910,4.697969,7.892033,8192.161,1061.236,3252.23,1.679882,4700,1251.429,626.726,39.4,61.07,75.07,79.63,1,1,1
4/30/2010 00:00:00,20.963,14.807546,4605.289,494.138,6.183231,976.661,5326.32,10,900,6.112916,9.542276,7974.853,478.897,2648.533,1.574773,4850,1786.69,10,61.07,75.07,79.63,103.23,1,1,1
4/30/2011 00:00:00,20.981,10.698478,4825.743,479.482,5.239407,1023.911,5292.363,0,1304.039,5.883418,8.94254,8324.585,482.676,3032.222,1.534977,4500,1798.517,0,75.07,79.63,103.23,96.68,0,1,0
4/30/2012 00:00:00,21.931,8.15023,5525.782,459.744,4.573733,1025.279,5163.386,50,2020.543,5.272351,8.71247,9115.226,616.972,3951.84,1.667964,4850,1845.223,50,79.63,103.23,96.68,115.92,1,1,1
4/30/2013 00:00:00,24.7,6.813841,5897.7,544.2,6.164318,1161.3,5148.8,50,1967.8,5.997677,10.554503,9031.8,596.8,3883,1.759765,4875,2027.6,50,103.23,96.68,115.92,126.98,0,0,0
4/30/2014 00:00:00,24.3,4.886995,5610.6,565.2,6.349705,1175.4,5029.6,343.2,1873.1,6.248065,11.105871,9060.2,885.8,4030.6,1.77749,4775,2031,343.2,96.68,115.92,126.98,125.89,1,1,0
