Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1981 00:00:00,,,5399,467.600006,,,,,,,,,,,,,,,,,,,,,
12/31/1982 00:00:00,,,5760.899902,473.399994,,,,,,,,,,,,,,,,,,,,,
12/31/1983 00:00:00,,,5972.899902,489,,,,,,,,,,,,,,,,,,,,,
12/31/1984 00:00:00,,,6124.5,514.5,,,,,,,,,,,,,,,,,,,,,
12/31/1985 00:00:00,,,6421.299805,613.700012,,,,,,,,,,,,,,,,,,,,,
12/31/1986 00:00:00,,,7003,330,,,,,,,,,,,,,,,,,,,,,
12/31/1987 00:00:00,617,,8012,833,,1565,3485,356,733,,,6546,1763,3061,,78200,5054,356,,,,,,,
12/31/1988 00:00:00,674,,9000,974,18.517459,1795,3503,522,1166,14.255397,27.876359,7119,1868,3616,1.955495,81300,5708,522,,,,,,,
12/31/1989 00:00:00,719,,9757,1082,18.533525,2075,4148,570,1170,14.390211,28.283884,7919,1927,3771,1.965495,83100,6277,570,,,,,,,
12/30/1990 00:00:00,834,,11232,1143,15.627763,2466,4900,876,1316,13.119082,25.265252,9506,2623,4606,1.92584,82200,7295,876,,,,,,,
12/29/1991 00:00:00,980,,12447,1461,18.01254,2657,5626,679,1301,14.596134,27.759833,10513,2689,4887,1.901862,82700,8243,679,,,,,,,
1/3/1993 00:00:00,1127,,13753,1030,12.187317,2837,5171,1032,1365,9.19766,19.079374,11884,3427,6713,2.074373,84900,9075,1032,,,,,,,
12/31/1993 00:00:00,1182,,14138,1787,21.007543,3011,5568,915,1493,14.813894,33.280566,12242,3212,6674,2.246578,81600,9347,915,,,,,,,
12/31/1994 00:00:00,1278,,15734,2006,20.157604,3531,7122,899,2199,14.374776,31.615445,15668,4266,8546,2.19937,81500,10435,899,,,,,,,
12/31/1995 00:00:00,1634,,18842,2403,19.496505,4368,9045,321,2107,14.328732,29.727222,17873,4388,8828,2.074658,82300,12607,321,,,,,,,
12/31/1996 00:00:00,1905,,21620,2887,19.244505,5312,10836,872,1410,15.241665,29.042805,20010,5184,9174,1.905488,89300,14602,872,,,,,,,
12/28/1997 00:00:00,2140,,22629,3303,18.676439,5689,12359,714,1126,15.932277,28.480276,21453,5283,9094,1.787584,90500,15477,714,,,,,,,
1/3/1999 00:00:00,2336,,23995,3003,12.846119,6170,14077,2753,1729,12.321264,22.71902,27292,8293,13215,1.843887,93100,16391,2753,41.4063,46.0938,49.375,58.68,True,False,True
1/2/2000 00:00:00,2600,,27471,4167,17.748432,7370,16213,1806,2450,14.7622,27.514031,29163,7454,12950,1.863816,97800,19029,1806,46.0938,51,58.7,55.33,True,True,False
12/31/2000 00:00:00,3105,,29846,4953,17.640953,8301,20395,1489,3163,15.622634,27.059659,34245,7255,13850,1.73208,98500,20938,1489,52.5313,59.1,53.71,51.66,True,False,False
12/30/2001 00:00:00,3591,,32317,5668,16.227481,9490,24233,565,2217,15.585773,25.401093,38488,8044,14255,1.629762,101800,22736,565,59.1,53.78,51.37,63.55,False,False,False
12/29/2002 00:00:00,3957,,36298,6597,17.766844,11340,22697,2117,2022,16.691969,28.114213,40556,11449,17859,1.684296,108300,25851,2117,53.78,51.25,63.53,60.25,False,False,False
12/28/2003 00:00:00,4684,,41862,7197,17.959892,12740,26869,1139,2955,16.205992,29.040068,48263,13448,21394,1.791934,110600,29686,1139,51.25,63.76,60.42,66.42,True,False,False
1/2/2005 00:00:00,5203,,47348,8509,17.920316,14987,31813,280,2565,16.753298,29.000375,53317,13927,21504,1.731025,109900,33926,280,62.9,61.63,66.4,65.91,False,False,False
1/1/2006 00:00:00,6462,,50514,10060,17.776548,14924,38710,668,2017,17.935301,28.5297,58864,12635,20154,1.590701,115600,36504,668,60.1,66.4,66.7,59.83,True,False,False
12/31/2006 00:00:00,7125,,53324,11053,17.393756,15886,39318,4579,2014,17.080822,28.330856,70556,19161,31238,1.658635,122200,38267,4579,66.02,66.7,59.83,64.41,False,False,False
12/30/2007 00:00:00,7680,30.641458,61095,10576,14.293839,17990,43319,2463,7074,13.960795,25.596283,80954,19837,37635,1.83344,119200,43344,2463,66.7,59.17,64.91,61.94,False,False,False
12/28/2008 00:00:00,7577,29.392224,63747,12949,18.466737,19001,42511,3732,8120,15.613809,30.173599,84912,20852,42401,1.932494,118700,45236,3732,58.15,64.94,62.05,65.45,True,False,False
1/3/2010 00:00:00,6986,30.813844,61897,12266,14.909215,18364,50588,6318,8223,13.659699,26.350444,94682,21731,44094,1.929065,115500,43450,6318,64.68,62.82,65.88,70.74,False,False,False
1/2/2011 00:00:00,6844,28.720491,61587,13334,14.05012,19466,56579,7617,9156,13.496634,24.884526,102908,23072,46329,1.843758,114000,42795,7617,62.82,65.88,70.84,91.03,False,False,True
1/1/2012 00:00:00,7548,26.797939,65030,9672,6.186928,18742,57080,6658,12969,8.932727,17.01933,113644,22811,56564,1.905278,117900,44670,6658,65.58,70.1,91.59,104.57,False,True,True
12/30/2012 00:00:00,7665,40.815368,67224,10853,6.964514,19535,64826,4676,11489,9.23695,17.805522,121347,24262,56521,1.927641,127600,45566,4676,70.1,92.3,105.36,103.78,True,True,True
12/29/2013 00:00:00,8183,16.91096,71312,13831,9.44012,22481,74053,4852,13328,10.889265,19.918058,132683,25675,58630,1.829146,128100,48970,4852,92.3,105.33,104.03,115.49,True,False,False
12/28/2014 00:00:00,8494,24.989306,74331,16323,11.895342,24854,69752,3638,15122,12.410993,22.701575,130358,25031,60606,1.829151,126500,51585,3638,105.33,103.22,115.1,140.56,False,False,True
1/3/2016 00:00:00,9046,23.795866,70074,15409,10.26556,21811,71150,7004,12857,11.683708,21.871939,133411,27747,62261,1.872003,127100,48538,7004,100.48,115.84,140.56,,True,True,
1/1/2017 00:00:00,9095,26.87172,71890,16540,11.185444,24890,70418,4684,22442,12.04578,23.366863,141208,26287,70790,1.939838,126400,50205,4684,115.21,139.23,,,True,,
