Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
1/31/1987 00:00:00,0,,3142696.045,227779.999,,535622.002,781541.992,0,70419.998,,,1377088.989,334903.992,595546.997,,,961827.148,0,,,,,,,
1/30/1988 00:00:00,0,,3527940.918,235188.004,25.215114,518225.006,729171.021,0,343000,15.86422,31.136027,1587922.974,330316.01,858752.014,1.962657,50200,992774.902,0,,,,,,,
1/28/1989 00:00:00,0,,4070777.1,245136.002,24.132345,609886.993,946207.001,0,517952.026,13.131949,29.263366,2145506.104,455954.987,1199299.011,2.22841,56700,1214703.125,0,,,,,,,
2/3/1990 00:00:00,0,,4647916.016,346925.995,26.474703,789967.026,1240454.01,0,445674.011,15.202743,31.731118,2418486.084,478220.001,1178032.013,2.087197,63000,1446635.01,0,,,,,,,
2/2/1991 00:00:00,0,,5253508.789,398437.988,22.283401,881921.982,1560052.002,0,540445.984,15.062782,28.454714,2871877.93,480957.001,1311825.989,1.889074,72500,1630438.721,0,,,,,,,
2/1/1992 00:00:00,0,,6149217.773,403302.002,17.583632,935395.019,1876791.992,0,713757.996,12.822097,23.469323,3418855.957,520119.995,1542063.996,1.830381,83000,1793542.968,0,,,,,,,
1/30/1993 00:00:00,0,,6944295.898,455497.009,17.072012,1035675.003,2267617.005,0,541638.977,12.538963,21.981277,3846449.951,720778.015,1578832.977,1.753038,100700,1990739.746,0,,,,,,,
1/29/1994 00:00:00,,,7245087.891,390998.993,11.056402,970292.023,2441292.908,0,650000,9.797564,16.606773,4135104.98,707443.97,1693811.981,1.69499,97500,1958834.961,0,,,,,,,
1/28/1995 00:00:00,0,,7320790.039,448341.003,12.279382,1066875,2760956.025,25200.001,650000,10.300554,17.23643,4570077.148,797554.993,1809121.003,1.67335,,2114360.84,25200.001,,,,,,,
2/3/1996 00:00:00,0,,7881437.012,961510.986,27.454559,897923.981,3246739.925,0,650000,19.549581,32.254662,5266562.988,716575.012,2019822.998,1.64989,29500,2087532.227,0,,,,,,,
2/1/1997 00:00:00,0,,8644791.016,434208.008,12.721701,937710.022,1989918,0,650000,9.251691,16.949257,4120001.953,906893.005,2130083.984,1.832017,123100,2496579.102,0,,,,,,,
1/31/1998 00:00:00,0,,9188803.711,217389.999,4.381457,1006606.018,2147029.03,0,650000,5.16319,10.95843,4300761.23,1093411.987,2153731.994,2.122415,131000,2817976.563,0,11.0625,11.6875,9.0313,12.525,False,False,False
1/30/1999 00:00:00,,,9346911.133,2046494.019,91.278697,970343.018,2272462.952,100000,550000,46.246,97.176393,4549708.008,1180004.028,2277245.056,2.101293,126800,2971260.254,100000,11.5938,9.0313,12.06,11.675,False,False,False
1/31/2000 00:00:00,,,9766219.727,460759.003,15.051984,1179750.977,2266084.969,250000,400000,10.621615,21.099639,4126166.992,1235552.002,1860082.001,2.011081,32100,3323156.738,250000,9.0313,12.525,11.725,13.125,True,True,True
2/3/2001 00:00:00,,,9080000,428000,12.947275,1113145.996,2459539.963,0,400000,10.420865,18.981784,4088122.07,1000184.998,1628582.001,1.840311,33500,3185000,0,12.19,11.67,13.41,14.54,False,False,False
2/2/2002 00:00:00,,,8423000,519000,15.282648,1003000,2921000,150000,250000,11.304576,20.51199,5094000,1454000,2173000,1.814485,28700,3016000,150000,11.555,13.41,14.7,17.78,True,True,True
2/1/2003 00:00:00,,,8445000,502000,9.21056,1148000,4860000,0,547000,8.136143,13.203577,7246000,1259000,2386000,1.62283,28400,3094000,0,13.125,14.7,17.7,22,True,True,True
1/31/2004 00:00:00,,,8934000,717000,10.053328,1251000,5266000,0,648000,9.480365,14.161564,7880000,1388000,2614000,1.493778,111100,3251000,0,14.795,17.555,21.885,38.99,True,True,True
1/29/2005 00:00:00,,,9408000,705000,-0.499934,1360000,2368000,0,1646000,10.093779,18.550191,6089000,1451000,3721000,1.837785,,3378000,0,17.085,21.685,39.09,35.36,True,True,True
1/28/2006 00:00:00,,,9699000,683000,18.094999,1285000,2504000,7000,1669000,10.985123,28.422805,6346000,1575000,3842000,2.587391,,3480000,7000,22.075,39.09,39.09,23,True,True,False
2/3/2007 00:00:00,,9379.185,10671000,676000,16.131493,1492000,3026000,8000,1665000,10.060272,24.917066,7093000,1709000,4067000,2.476778,20400,4013000,8000,39.475,38.3,22.77,36.63,False,False,False
2/2/2008 00:00:00,,6823.971,10134000,718000,18.979513,1232000,2274000,7000,2905000,9.883001,27.754155,7437000,1374000,5163000,2.808272,19400,3542000,7000,37.38,21.98,36.9,57.64,False,False,True
1/31/2009 00:00:00,0,7534.428,9043000,220000,0.928414,966000,1875000,0,2897000,3.053647,10.750061,6972000,1255000,5097000,3.520401,,3006000,0,22.25,36.25,56.16,64.31,True,True,True
1/30/2010 00:00:00,0,10821.97,8632000,448000,12.570865,1261000,2184000,0,2723000,6.334394,22.085285,7173000,1322000,4989000,3.486566,17100,3028000,0,35.72,56.16,63.42,62.49,True,True,True
1/29/2011 00:00:00,0,20508.49,9613000,805000,-37.332605,1678000,1477000,0,2507000,11.817381,44.001093,6451000,1504000,4974000,3.723422,,3631000,0,55.58,63.42,63.19,65.25,True,False,False
1/28/2012 00:00:00,,19230.484,10364000,850000,-36.453813,1629000,138000,57000,3481000,13.53611,105.393676,6108000,1526000,5970000,7.786113,,4057000,57000,63.25,63.16,63.2,55.37,False,False,False
2/2/2013 00:00:00,,19232.97,10459000,753000,,1962000,-1014000,0,4477000,12.41857,,6019000,1538000,7033000,,,4386000,0,61.75,62.23,47.92,51.86,False,False,False
2/1/2014 00:00:00,,15875.922,10773000,903000,,2150000,-369000,215000,4761000,13.66422,,7198000,1826000,7567000,,20200,4429000,215000,64.18,47.92,52.82,93.41,False,False,True
1/31/2015 00:00:00,0,24094.036,11454000,1042000,,2391000,19000,0,4722000,14.20199,,7476000,1679000,7457000,,20200,4808000,0,48.26,52.82,92.64,111.59,False,True,True
1/30/2016 00:00:00,0,27168.1,12154000,1253000,,2649000,-258000,6000,5715000,15.692905,,8493000,1875000,8751000,,22900,5204000,6000,52.64,94.57,111.37,,True,True,
1/28/2017 00:00:00,0,14773.844,12574000,1158000,,2521000,-727000,36000,5700000,13.899058,,8170000,2014000,8897000,,24600,5125000,36000,95.42,111.68,,,True,,
