Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
4/30/1987 00:00:00,42.112999,,502.010986,73.816002,,132.132002,386.986994,31.893,5.508,,,559.718994,125.617996,172.731995,,4952,332.835983,31.893,,,,,,,
4/30/1988 00:00:00,53.124001,,653.31897,86.521004,18.467533,159.130995,395.868011,50.844002,9.096,14.413909,22.103966,640.802002,188.791,244.934001,1.533516,5728,443.293976,50.844002,,,,,,,
4/30/1989 00:00:00,65.980003,,741.698975,97.429001,18.73057,174.309994,473.608989,72.111,7.814,13.914046,22.410944,759.638977,231.604996,286.029996,1.610671,6303,502.638977,72.111,,,,,,,
4/30/1990 00:00:00,81.504997,,865.91803,112.874001,18.083353,213.966995,565.235978,86.314003,7.996,13.723917,21.730673,885.284973,264.212006,320.049006,1.583416,,584.263031,86.314003,,,,,,,
4/30/1991 00:00:00,89.473999,,1021.422974,133.371994,17.548994,252.886002,683.166026,90.866997,7.918,13.969852,21.366834,1024.140991,292.028992,340.974992,1.529496,7560,689.720978,90.866997,,,,,,,
4/30/1992 00:00:00,109.181,,1176.911987,161.541,17.869711,305.402008,796.455024,80.580002,8.618,14.768808,21.835456,1163.456055,308.576996,367.000996,1.478485,8314,795.132995,80.580002,,,,,,,
4/30/1993 00:00:00,132.955002,,1328.208008,197.227997,20.28812,364.73999,841.478024,91.863998,10.851,16.100862,24.082547,1286.449951,348.096008,444.97201,1.49573,8334,908.076019,91.863998,,,,,,,
4/30/1994 00:00:00,156.313995,,1390.921997,232.356995,20.408977,411.251014,1053.491955,58.173,20.232,15.971189,24.523554,1623.251953,439.444,569.76,1.535487,8709,959.253998,58.173,,,,,,,
4/30/1995 00:00:00,191.350998,,1742.391968,294,20.663469,542.839005,1335.013036,33.473999,14.2,16.470662,24.61791,1946.732056,456.128998,611.718997,1.494652,8896,1202.311951,33.473999,,,,,,,
4/30/1996 00:00:00,236.684006,,2169.114014,437.803986,24.157399,758.945984,1789.304978,60.523998,15.336,19.67645,28.025571,2503.298096,525.047974,713.992968,1.42432,10526,1579.403992,60.523998,,,,,,,
4/30/1997 00:00:00,280.213989,,2438.224121,529.987976,24.849032,901.36602,1746.220967,106.375,13.98,21.577083,29.980715,2409.209961,518.690979,662.988972,1.38947,13719,1828.034119,106.375,,,,,,,
4/30/1998 00:00:00,367.899994,,3343,587.799988,22.056844,1241.799973,2650.600098,130.800003,61.200001,19.414045,26.737499,3646.199951,764.099976,995.59998,1.377225,12466,2467.5,130.800003,26.3125,35.9688,52.375,44.6,True,True,True
4/30/1999 00:00:00,434.2,,4232.4,476.3,10.068739,1555.3,3770.8,239.2,23.4,11.006863,14.834771,5008.4,1006.2,1237.6,1.347775,19334,3091.6,239.2,35.9688,52.375,44.6,44.69,True,True,False
4/30/2000 00:00:00,488.2,,5016.3,1084.2,21.562614,1856.8,4512.5,317.2,14.9,20.260687,26.177973,5694.1,994.4,1181.6,1.292058,21490,3750.5,317.2,52.375,44.6,44.69,47.74,False,False,False
4/27/2001 00:00:00,577.6,,5551.8,1046,16.07264,2111.3,5509.5,145.4,13.3,16.429749,20.874077,7038.9,1359.3,1529.4,1.270505,23290,4141.2,145.4,44.25,43.81,48.58,50.32,False,False,False
4/26/2002 00:00:00,646.299988,,6410.799805,984,11.811802,2478.799988,6431.100098,2516.100098,9.5,10.967821,16.481584,10904.5,3984.899902,4473.399902,1.502722,28000,4758.099854,2516.100098,43.81,48.08,49.85,51.57,False,False,False
4/25/2003 00:00:00,,,7665.2,1599.8,18.070444,3133.7,7906.400101,385.299988,1813.300049,13.776356,22.316303,12320.799805,1813.300049,4247.400086,1.619899,30000,5774.9,385.299988,48.08,49.85,50.7,49.05,False,False,False
4/30/2004 00:00:00,851.5,,9087.200195,1959.300049,18.928213,3623.999908,9076.999611,2358.199951,1.1,14.825437,23.073119,14110.799805,4240.600098,5033.800074,1.55632,31000,6834.300293,2358.199951,50.46,52.7,49.95,52.93,False,False,False
4/29/2005 00:00:00,951.3,,10054.6,1803.9,14.329245,3906.6,10449.5,478.6,1973.2,11.741007,18.47643,16617.4,3380,6167.9,1.573667,33000,7608.2,478.6,52.7,50.12,52.93,49.72,False,False,False
4/28/2006 00:00:00,1112.9,,11292,2546.7,20.995361,4248,9382.5,2436.8,5486.3,14.038289,25.682735,19664.8,4405.8,10282.3,1.829478,,8476.7,2436.8,50.12,53.6,50.34,30.64,False,False,False
4/27/2007 00:00:00,1239,11.50063,12299,2802,22.574228,4330,10977,509,5578,14.304384,27.525234,19512,2563,8535,1.924252,,9139,509,53.6,50.34,29.96,43.42,False,False,False
4/25/2008 00:00:00,1275,12.24046,13515,2231,14.800338,4724,11536,1154,5802,10.697674,19.81966,22198,3535,10662,1.852707,40000,10069,1154,49.42,29.58,44.06,40.58,False,False,False
4/24/2009 00:00:00,1355,7.512626,14599,2070,9.927988,3718,13182,522,6253,9.042065,16.748928,23588,3147,10406,1.852334,41000,11081,522,29.58,44.21,40.58,37.12,True,True,False
4/30/2010 00:00:00,1460,9.606351,15817,3099,15.763547,5455,14629,2575,6944,11.993498,22.286146,28090,5121,13461,1.858186,,12005,2575,43.69,41.75,38.2,46.68,False,False,False
4/29/2011 00:00:00,1472,9.624709,15508,3096,13.473854,4856,15968,1723,8112,10.536884,20.237278,30675,4726,14707,1.920613,45000,11808,1723,41.75,38.2,46.84,58.8,False,False,True
4/27/2012 00:00:00,1490,33.049456,16184,3617,15.662664,5491,17113,3274,7359,11.393382,21.867537,32818,5927,15705,1.919319,45000,12295,3274,37.69,46.36,58.73,76.21,True,True,True
4/26/2013 00:00:00,1557,8.975886,16590,3467,13.452537,5329,18671,910,9741,10.239523,19.377375,34900,3950,16229,1.89241,46000,12464,910,46.36,58.21,76.21,78.72,True,True,True
