Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
3/31/1992 00:00:00,8.155,,73.057999,0.36,,5.139,21.372001,14.305,5.763,,,57.879002,29.054001,36.507001,,,23.451,14.305,,,,,,,
3/31/1993 00:00:00,9.114,,88.652,4.218,12.618542,10.315,45.539998,10.699,3.749,6.258253,12.618542,76.918999,26.73,31.379,2.016304,1040,32.100002,10.699,,,,,,,
3/31/1994 00:00:00,13.84,,138.742004,19.159,28.708213,33.514,87.934,5.534,14.424,16.780822,28.708213,151.425003,43.428001,63.491001,1.710775,,64.977005,5.534,,,,,,,
3/31/1995 00:00:00,20.746,,207.960999,36.299,29.067221,66.396999,161.825001,6.101,15.34,18.108529,29.067221,249.479996,66.275002,87.655002,1.605167,122,106.921998,6.101,,,,,,,
3/31/1996 00:00:00,27.517,,285.888,43.751999,22.939413,90.287,219.632004,5.677,33.25,14.399992,22.939413,358.187012,100.575996,138.554996,1.593016,1665,148.180007,5.677,,,,,,,
3/31/1997 00:00:00,32.073002,,334.252014,51.132,19.071419,116.879002,316.584,6.246,5.999,13.00607,19.071419,428.09201,98.360001,111.508001,1.466348,1879,166.922012,6.246,,,,,,,
3/31/1998 00:00:00,38.362,,396.894012,64.367996,18.824023,144.912998,367.308014,20.402,8.768,13.510838,18.824023,524.742981,139.417999,157.434999,1.393254,2153,197.356018,20.402,6.2222,10.2593,29.2222,16.875,1,1,1
3/31/1999 00:00:00,40.785999,,406.459991,50.088001,13.796352,135.006996,358.797012,3.325,25,9.726081,13.796352,505.230011,110.120003,146.433002,1.41849,1977,202.885986,3.325,10.2593,29.2222,16.875,28.3933,1,1,1
3/31/2000 00:00:00,45.570999,,495.729004,102.043999,19.975823,206.602989,662.878021,9,0,14.934193,19.975823,861.35199,178.459,198.473999,1.33759,2692,257.744003,9,29.2222,16.875,28.3933,19.9,0,0,0
3/31/2001 00:00:00,78.595001,,715.72998,142.835999,17.790831,303.824989,942.847992,0,0,14.123293,17.790831,1161.348999,194.623001,218.501001,1.25968,3011,380.713989,0,16.875,28.3933,19.9,26.56,1,0,1
3/31/2002 00:00:00,81.650002,,571.254028,94.814003,9.39391,231.510002,1075.779022,0,0,7.78137,9.39391,1275.599976,167.598007,199.821007,1.207231,3041,286.736023,0,28.3933,19.9,26.56,26.01,0,0,0
3/31/2003 00:00:00,87.962997,,651.461975,88.232002,7.188116,285.993004,1178.949036,0,0,6.526337,7.826399,1428.275024,215.130005,249.326004,1.199202,3373,352.234985,0,19.9,26.56,26.01,36.3,1,1,1
3/31/2004 00:00:00,85.389,,699.26001,137.261993,9.120348,283.785996,1320.516968,0,0,8.999553,10.983305,1622.142944,270.050995,301.625996,1.220428,3678,349.959015,0,26.56,26.01,36.3,35.53,0,1,1
3/31/2005 00:00:00,93.04,,846.936,213.785,12.171969,400.213,1485.734,45.454,0,12.430456,15.236342,1817.554,306.665,331.82,1.225727,3943,483.975,45.454,26.01,36.3,35.53,32.73,1,1,0
3/31/2006 00:00:00,94.926,,927.893,242.369,7.634661,437.046,1726.189,268.954,0,11.629572,15.091831,2350.596,608.969,624.407,1.297712,4336,550.877,268.954,36.3,35.53,32.73,21.19,0,0,0
3/31/2007 00:00:00,113.698,4.407666,1039.671,357.029,7.99202,463.982,2004.368,0,0,15.455343,19.140788,2269.541,255.92,265.173,1.238458,4582,624.756,0,35.53,32.73,21.19,28.16,0,0,0
3/31/2008 00:00:00,120.864,3.772766,1035.737,297.748,3.160432,428.745,1036.223,,1150.128,12.453261,19.584877,2512.307,191.081,1476.084,1.572671,,624.938,,32.73,21.19,28.16,38.01,0,0,0
3/31/2009 00:00:00,115.524,3.305445,903.297,245.587,-0.084701,329.374,1490.311,0,334.184,9.987235,19.440625,2405.711,155.645,915.4,1.946547,4895,516.504,0,21.19,28.16,38.01,37.2,1,1,1
3/31/2010 00:00:00,120.823,5.053479,947.729,217.005,-2.153064,335.016,1533.38,0,340.672,8.817714,14.353649,2516.313,203.39,982.933,1.62782,5840,534.242,0,28.16,38.01,37.2,36.27,1,1,0
3/31/2011 00:00:00,170.607,5.317406,1487.205,418.95,10.057498,580.795,1812.438,0,347.334,15.27796,25.043203,2968.058,340.316,1155.62,1.639172,,874.436,0,38.01,37.2,36.27,47.76,0,0,0
3/31/2012 00:00:00,182.65,6.21018,1383.176,336.705,3.708911,495.94,1990.673,0,355.05,11.127371,17.706819,3083.776,247.873,1093.103,1.591285,6923,799.294,0,37.2,36.27,47.76,48.9,0,1,0
3/31/2013 00:00:00,254.723,4.589433,1581.623,127.389,-7.463184,382.65,1933.47,0,983.385,3.673704,6.492577,3851.405,341.611,1917.935,1.767311,8003,838.459,0,36.27,47.76,48.9,48.2,1,1,0
3/31/2014 00:00:00,305.043,5.76731,1931.217,395.281,5.607222,648.003,2135.461,17.5,1003.258,9.98306,19.429231,4067.63,336.079,1932.169,1.94622,8640,1128.743,17.5,47.76,48.9,48.2,73.78,0,0,1
3/31/2015 00:00:00,349.543,5.501485,2147.036,369.009,3.948743,703.918,2061.026,0,1826.858,8.340748,17.655447,4780.713,353.972,2719.687,2.11677,9449,1229.564,0,48.9,48.2,73.78,91.36,0,1,1
3/31/2016 00:00:00,372.596,10.760942,2173.334,324.132,1.575232,635.516,2150.919,0,2453.405,6.282483,15.451143,5537.883,382.009,3386.964,2.459401,9766,1205.464,0,48.2,73.78,91.36,,1,1,
3/31/2017 00:00:00,545.293,7.305351,3407.807,164.639,-5.156484,745.025,3270.711,49.952,2900.524,2.489859,6.073413,7686.881,704.45,4416.17,2.43926,12656,1757.196,49.952,73.78,91.36,,,1,,
12/31/2017 00:00:00,522.837997131348,7.305351,3881.151,245.565,,1433.645,3185.075,0,3039.623,3.21664900270323,8.53846149834152,8123.793,756.832,4938.718,2.4035823335486,,2338.41800878906,0,87.88,,,,,,
