Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
9/1/1987 00:00:00,309,,587013,19362,,119858.002,323651.001,31242.001,287002.014,,,919166.992,104116.997,595516.014,,2271,,31242.001,,,,,,,
8/31/1988 00:00:00,334,,571434.021,21656,-11.304468,126457.001,327148.003,38266.998,232235.992,2.307196,6.709239,958090.027,185001.999,630941.986,2.966593,2136,,38266.998,,,,,,,
8/31/1989 00:00:00,340,,618323.975,36639.999,7.020843,115927,342825.005,104477.997,144451.996,3.89521,11.108435,923195.007,210496.002,580369.995,2.885526,2142,,104477.997,,,,,,,
8/31/1990 00:00:00,360,,667979.004,32959.999,3.757252,112044.998,342205.001,65265.999,216186.996,3.53855,9.754284,939715.027,163942.001,597509.994,2.792843,2176,,65265.999,,,,,,,
8/31/1991 00:00:00,367,,689468.018,35942.001,4.032998,122433.002,355835.007,94263,282924.988,3.609336,10.44468,1051897.949,180016.006,696062.988,2.92867,2273,,94263,,,,,,,
8/31/1992 00:00:00,320,,677138,32578.999,1.886035,130667.999,362576.004,21863.001,381009.003,3.070947,9.180609,1069858.032,102307.999,707281.998,3.029301,2229,,21863.001,,,,,,,
8/31/1993 00:00:00,1946,,789109.009,38424,2.725453,144536.003,372149.002,38049.999,375897.003,3.534337,10.602672,1104468.018,125682.999,732319,3.033696,2208,,38049.999,,,,,,,
8/31/1994 00:00:00,1419,,792382.996,36181,1.674383,142888.001,379493.988,64050.003,362897.003,3.228331,9.746703,1137000,148507.996,757505.997,3.055257,2061,,64050.003,,,,,,,
8/31/1995 00:00:00,0,,954195.007,42804.001,3.240319,158993,397629.013,68324.997,350821.014,3.692872,11.164462,1181196.045,172572.998,783567.016,3.053782,2003,326202.026,68324.997,,,,,,,
8/31/1996 00:00:00,0,,1224344.971,52835.999,5.074956,193903,423694.992,65273.003,336821.014,4.401007,13.047786,1219890.991,202630.005,796196.014,2.98894,1884,343782.959,65273.003,,,,,,,
8/31/1997 00:00:00,0,,1161927.002,59268.002,5.878807,203301.01,462625.992,63909,328213.989,4.823835,13.446162,1237406.982,189046.997,774780.975,2.800911,1800,361458.008,63909,,,,,,,
8/31/1998 00:00:00,,,1820758.057,101794.998,4.657031,290464.005,1168870.99,228908.997,312355.011,5.562729,9.172578,2422487.061,460812.988,1253615.997,2.243549,3211,600749.023,228908.997,6.5796,6.7985,6.99,7.0912,False,False,False
8/31/1999 00:00:00,,,1842810,106357,2.567382,349287,1174459,286564,810087,3.904849,5.899448,3024945,543582,1850486,2.32505,3252,686786,286564,6.7985,6.99,7.0912,8.4657,False,False,False
12/31/2000 00:00:00,,,6642858,145607,-1.322101,477284,1224957,834873,1473213,2.804101,9.045951,7360345,3526561,6135388,4.328975,3664,530587,834873,10.5328,7.8091,8.4044,9.665,False,False,False
12/31/2001 00:00:00,,,1915941.04,101565.002,-2.471561,389141.999,1265290.003,849106.018,1620022.949,1.537275,5.178226,5853299.805,1792557.983,4588009.887,5.307006,3657,826375,849106.018,7.8091,8.4044,9.665,12.4402,False,True,True
