Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1987 00:00:00,162000,,17096000,240000,,2024000,5354000,101000,6422000,,,16739000,2947000,11385000,,50300,2309000,101000,,,,,,,
12/31/1988 00:00:00,169000,,19417000,302000,-5.592663,2031000,6514000,231000,7688000,1.611268,5.217545,20747000,3568000,14233000,3.314998,52500,2645000,231000,,,,,,,
12/31/1989 00:00:00,171000,,20068000,285000,-7.880063,2202000,6155000,42000,8217000,1.373891,4.61679,20741000,3605000,14586000,3.444989,53500,2673000,42000,,,,,,,
12/31/1990 00:00:00,160000,,11509000,-1695000,,1959000,4231000,24000,7492000,-8.612805,-34.269606,18619000,3816000,14388000,3.962549,55000,2175000,24000,,,,,,,
12/31/1991 00:00:00,145000,,10096000,460000,2.151175,1711000,4403000,40000,5925000,2.648702,10.843086,16115000,2778000,11712000,4.147839,24700,1782000,40000,,,,,,,
12/31/1992 00:00:00,140000,,8494000,-591000,22.336926,1154000,3443000,40000,5806000,-3.477289,-15.348837,17877000,2290000,14434000,4.391731,23600,1273000,40000,,,,,,,
12/31/1993 00:00:00,126000,,8116000,283000,-53.662449,1262000,3971000,74000,6047000,1.617143,7.181592,17123000,2048000,13152000,5.129708,19860,1253000,74000,,,,,,,
12/31/1994 00:00:00,149000,,9236000,-36000,,1395000,4463000,89000,6114000,-0.205058,-3.438219,17989000,2201000,13526000,5.389409,,1628000,89000,,,,,,,
12/31/1995 00:00:00,127000,,10423000,511000,3.107037,2275000,4630000,538000,4819000,2.85443,12.987416,17815000,2657000,13185000,5.562218,,2521000,538000,,,,,,,
12/31/1996 00:00:00,136000,,7987000,668000,3.686151,1774000,5140000,47000,4511000,4.073668,16.165308,14981000,1837000,9841000,4.610065,14270,2166000,47000,,,,,,,
12/31/1997 00:00:00,135000,,8016000,-390000,22.067587,1699000,4286000,41000,4925000,-2.577405,-13.819023,15282000,1870000,10996000,4.37453,12380,2134000,41000,13.969,8.0936,10.3718,11.6309,0,0,0
12/31/1998 00:00:00,146000,,6596000,363000,-1.659185,1297000,3363000,1430000,5367000,2.377677,11.109327,15252000,2931000,11889000,4.90191,9190,1299000,1430000,8.0936,10.3718,11.6309,12.7244,1,1,1
12/31/1999 00:00:00,20000,,7610000,448000,4.804382,1619000,4261000,34000,4368000,3.050005,13.277134,14125000,1967000,9864000,4.422249,8701,1746000,34000,10.3718,11.6309,12.7244,13.6453,1,1,0
12/31/2000 00:00:00,16000,,13574000,1570000,28.920445,3646000,7512000,260000,5185000,9.362235,37.820899,19414000,2740000,11902000,4.042304,8791,3710000,260000,11.6309,12.7244,13.6453,20.2593,0,0,1
12/31/2001 00:00:00,9000,,13985000,1154000,15.201078,3638000,7858000,54000,4528000,6.193645,22.17525,17850000,1890000,9992000,3.580323,8235,3526000,54000,12.7244,13.6453,20.2593,27.9908,0,1,1
12/31/2002 00:00:00,7000,,7338000,989000,9.804495,3077000,7106000,206000,3997000,5.750334,16.549531,16548000,2235000,9442000,2.878012,7244,2941000,206000,13.6453,20.2593,27.9908,38.3123,1,1,1
12/31/2003 00:00:00,,,9326000,1527000,17.404225,4279000,8241000,476000,3993000,8.797096,21.436092,18168000,2526000,9927000,2.436724,7133,4161000,476000,20.2593,27.9908,38.3123,46.84,1,1,1
12/31/2004 00:00:00,,,11368000,2568000,23.164982,5632000,10877000,459000,3345000,12.983139,27.793712,21391000,3423000,10514000,2.140754,7209,5556000,459000,27.9908,38.3123,46.84,73.8523,1,1,1
12/31/2005 00:00:00,,,14597000,5281000,39.155913,7534000,15372000,46000,2873000,22.236258,41.286842,26108000,4272000,10736000,1.856735,8017,7750000,46000,38.3123,46.84,73.8523,57.5452,1,1,1
12/31/2006 00:00:00,,,17175000,4191000,20.445695,9331000,19604000,171000,2619000,14.318659,24.448722,32431000,4695000,12827000,1.707473,8886,8975000,171000,46.84,73.8523,57.5452,78.0346,1,1,1
12/31/2007 00:00:00,,77628.745,18784000,5400000,21.690295,10232000,22858000,47000,1741000,15.663524,25.668449,36519000,6266000,13661000,1.63874,9700,9537000,47000,73.8523,57.5452,78.0346,94.102,0,0,0
12/31/2008 00:00:00,,60467.849,24217000,6857000,23.40283,14594000,27325000,698000,2049000,17.569437,27.360693,41537000,6134000,14212000,1.557289,10400,13468000,698000,57.5452,78.0346,94.102,89.8813,1,1,1
12/31/2009 00:00:00,0,31401.356,14814000,2915000,6.779115,7740000,29159000,239000,2557000,6.797565,10.326174,44229000,6491000,15070000,1.521186,10100,9709000,239000,78.0346,94.102,89.8813,73.4878,1,0,0
12/31/2010 00:00:00,0,76107.01,19045000,4530000,10.844546,10517000,32484000,0,5111000,9.372963,14.696662,52432000,7825000,19948000,1.570064,11000,12933000,0,94.102,89.8813,73.4878,91.2243,0,0,0
12/31/2011 00:00:00,0,81493.47,23939000,6771000,14.930437,14183000,37620000,0,5871000,12.039902,19.285633,60044000,7947000,22424000,1.604416,,16554000,0,89.8813,73.4878,91.2243,80.5774,0,0,0
12/31/2012 00:00:00,0,28519.053,24172000,4598000,7.352244,11950000,40048000,600000,7023000,7.400969,11.824411,64210000,7290000,24162000,1.600469,,16328000,600000,73.4878,91.2243,80.5774,67.5827,1,0,0
12/31/2013 00:00:00,0,6887.359,20170000,5903000,8.239305,11979000,43372000,0,6939000,8.833322,14.168531,69443000,8434000,26071000,1.607527,12900,13673000,0,91.2243,80.5774,67.5827,71.23,0,0,0
12/31/2014 00:00:00,,6792.704,19312000,616000,,5432000,34959000,0,6838000,0.980096,1.577768,56259000,8244000,21300000,1.60981,11700,11959000,0,80.5774,67.5827,71.23,73.66,0,0,0
12/31/2015 00:00:00,0,6794.616,12480000,-7829000,,-5111000,24350000,1450000,6855000,-15.710158,-26.400715,43409000,6842000,19059000,1.680487,11100,6333000,1450000,67.5827,71.23,73.66,,0,0,
12/31/2016 00:00:00,0,16282.409,10090000,-574000,,2609000,21497000,0,9819000,-1.326892,-2.503981,43109000,6362000,21612000,1.887103,11000,4624000,0,71.23,73.66,,,0,,
12/31/2017 00:00:00,0,12675.86,12508000,1311000,-4.869172,5219000,20572000,500000,9328000,3.079814,6.261142,42026000,7400000,21454000,2.023699,11000,6603000,500000,73.66,,,,,,
12/31/2017 00:00:00,0,12675.86,12508000,1311000,-1.07835905482742,5219000,20572000,500000,9328000,3.07981441240383,6.27540469229124,42026000,7400000,21454000,2.02393249436241,11000,6824000,500000,73.66,,,,,,
