Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
9/27/1990 00:00:00,,,256.682007,17.947001,,82.286,96.765999,467.420013,13.646,,,948.028992,,851.263,,1535,,467.420013,,,,,,,
9/27/1991 00:00:00,,,286.048004,26.735001,22.523654,87.965002,122.115005,467.873993,13.519,2.663186,24.428799,1059.717041,,937.601993,9.172774,1627,,467.873993,,,,,,,
9/25/1992 00:00:00,,,361.134003,41.021999,26.581875,92.225996,160.935001,267.563995,13.388,4.396909,28.98569,806.22998,,645.29499,6.592287,1886,,267.563995,,,,,,,
9/24/1993 00:00:00,,,451.747009,49.347,24.451296,102.470003,205.565002,783.875,13.243,4.379005,26.928786,1447.569946,,1242.005016,6.149522,2173,,783.875,,,,,,,
9/30/1994 00:00:00,,,507.135986,42.069,16.320837,110.382002,227.452,828.69397,13.084,2.674587,19.430646,1698.261963,,1470.809975,7.264915,2513,,828.69397,,,,,,,
9/29/1995 00:00:00,,,554.070007,46.140999,15.699135,149.124002,266.193001,820.877991,12.909,2.486731,18.694,2012.714966,,1746.522007,7.517501,2639,,820.877991,,,,,,,
9/30/1996 00:00:00,,,721.752014,65.977997,19.589928,203.322002,326.632011,974.721985,12.909,2.881704,22.258844,2566.381104,,2239.748997,7.724195,2986,,974.721985,,,,,,,
9/26/1997 00:00:00,,,896.960999,98.915001,23.735978,244.142007,423.276012,1112.584961,14.215,3.384587,26.380569,3278.64502,,2855.368916,7.794324,3244,,1112.584961,,,,,,,
9/25/1998 00:00:00,,,1082.906982,92.704002,17.385396,297.223995,509.89801,1046.626953,0,2.599889,19.868535,3852.737061,,3342.838928,7.642071,3790,,1046.626953,8.9444,8.4722,12.9722,12.2356,0,1,1
9/24/1999 00:00:00,,,1232.206055,85.089996,13.438239,309.072001,558.485992,1467.942993,201.503998,1.915697,15.928729,5030.714844,,4472.229034,8.314849,4480,,1467.942993,8.4722,12.9722,12.2222,11.3911,1,1,1
