Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1990 00:00:00,6.286,,3.836,-3.297836,,-4.143,19.106999,0,0,,,25.437,1.81,6.33,,,-2.45,0,,,,,,,
12/31/1991 00:00:00,12.786184,,7.312812,-4.468108,,-8.795298,106.239997,0.397,2.414,-6.408187,-7.547289,114.013,3.302,7.773,1.177757,169,-5.473188,0.397,,,,,,,
12/31/1992 00:00:00,23.114243,,6.553601,-19.112,,-21.248042,87.153429,1.002664,5.818291,-18.039297,-19.764891,97.879951,4.556159,10.726526,1.095657,200,-16.5604,1.002664,,,,,,,
12/31/1993 00:00:00,39.198002,,7.092,-39.883999,,-39.199998,98.389,1.6,5.912,-37.022192,-42.991783,117.580002,13.078,19.191,1.161244,258,-32.106002,1.6,,,,,,,
12/31/1994 00:00:00,39.726002,,20.606001,-30.655001,,-27.743,67.071007,3.143,9.249,-28.944934,-37.054272,94.236,17.865999,27.164999,1.280164,193,-19.120001,3.143,,,,,,,
12/31/1995 00:00:00,36.324001,,24.386999,-23.507999,,-18.523,67.856995,3.491,5.978,-25.002127,-34.84525,93.811996,12.948,25.955,1.393691,204,-11.937002,3.491,,,,,,,
12/31/1996 00:00:00,28.268999,,19.754,-32.424,,-15.51,106.932007,3.583,5.148,-28.024927,-37.100732,137.582001,12.048,30.650001,1.323848,243,,3.583,,,,,,,
12/31/1997 00:00:00,27.77,,26.858,-11.579,,-9.294,138.897799,1.843,3.752,-7.568914,-9.420492,168.380005,10.688,29.483,1.244629,270,,1.843,8.875,7.375,12.75,35.266,False,True,True
12/31/1998 00:00:00,37.047001,,38.327,-8.625,,-9.56,131.227005,1.116,3.066,-5.302879,-6.386032,156.914993,9.402,25.688001,1.204257,371,,1.116,7.375,12.75,35.266,28.16,True,True,True
12/31/1999 00:00:00,44.939999,,34.499001,-23.07,,-20.408,109.531998,1.448,2.731,-15.69847,-19.164392,136.998993,13.319,27.467,1.220781,437,,1.448,12.75,35.266,28.16,18.51,True,True,True
12/31/2000 00:00:00,56.256001,,59.276001,-23.215,,-20.854999,182.130005,0.612,2.069,-13.44733,-15.919112,208.274002,13.786,26.144,1.183812,491,43.710001,0.612,35.266,28.16,18.51,14.71,False,False,False
12/31/2001 00:00:00,91.540001,,21.973,-76.18,,-79.605999,266.355042,0.426,200.149994,-21.652164,-33.972147,495.397003,22.021999,229.041993,1.568995,575,15.464,0.426,28.16,18.51,14.71,9.21,False,False,False
12/31/2002 00:00:00,124.953003,,21.988001,-124.376999,,-113.526003,145.981018,0.15,200,-28.045336,-60.327976,391.574005,40.118,245.593,2.151088,669,15.505001,0.15,18.51,14.71,9.21,15.95,False,False,False
12/31/2003 00:00:00,136.024002,,57.497002,-107.458,,-87.050999,137.643005,13.817,200,-24.670972,-75.774964,479.555023,72.922997,341.911995,3.071422,644,50.821002,13.817,14.71,9.21,15.95,20.07,False,False,True
12/31/2004 00:00:00,136.095,,174.017,41.699,,21.008,182.543,0,200,8.754197,26.046735,473.108,34.139,290.565,2.975342,730,158.803,0,9.21,15.95,20.07,24.15,True,True,True
12/31/2005 00:00:00,155.580994,,66.193,-95.446,,-108.917,114.002,0,200,-21.29044,-64.372018,423.501,40.357,309.499,3.023518,588,56.636,0,15.95,20.07,24.15,18.36,True,True,False
12/31/2006 00:00:00,137.063995,,63.447,-102.337,,-93.063,216.624,0,200,-20.293062,-61.904992,585.09,45.014,368.466,3.05055,573,55.301,0,20.07,24.15,18.36,24.18,True,False,False
12/31/2007 00:00:00,201.613007,4.476649,125.024,-105.6,,-102.967,460.267,200,0,-13.882425,-31.201479,936.258,283.664,475.991,2.247552,682,,200,24.15,18.36,24.18,32.83,False,False,True
12/31/2008 00:00:00,274.903,4.42377,238.457,-79.129,,-74.962,421.514,,54.182,-9.53087,-17.94754,724.22,83.672,302.706,1.883096,919,237.534,,18.36,24.18,32.83,55.43,True,True,True
12/31/2009 00:00:00,398.762,6.349308,379.268,-67.83,,-59.856,396.762,0,0,-9.257402,-16.578758,741.202,93.575,344.44,1.790865,1029,377.582,0,24.18,32.83,55.43,171.07,True,True,True
12/31/2010 00:00:00,489.252,7.587555,459.074,-104.468,,-77.785,527.815,0,0,-11.413314,-22.59801,1089.432,109.056,561.617,1.979969,1395,456.981,0,32.83,55.43,171.07,275.24,True,True,True
12/31/2011 00:00:00,529.506,10.562661,445.824,-221.76,,-174.077,485.732,0,275.019,-18.380325,-43.759194,1323.583,148.271,837.851,2.380763,1704,441.608,0,55.43,171.07,275.24,410.25,True,True,True
12/31/2012 00:00:00,625.554,30.047097,1378.477,750.269,86.680334,494.653,1245.385,0,296.518,44.080665,86.680334,2080.49,163.55,835.105,1.966403,1950,1294.022,0,171.07,275.24,410.25,542.87,True,True,True
12/31/2013 00:00:00,859.947,36.272665,2104.745,424.362,26.543686,801.232,1952.076,0,320.315,16.8682,26.543686,2951.013,298.835,998.937,1.573593,2340,1949.39,0,275.24,410.25,542.87,367.09,True,True,True
12/31/2014 00:00:00,1271.353,41.965424,2819.557,338.126,15.020055,876.605,2550.251,0,146.773,9.961458,15.020055,3837.672,654.66,1287.421,1.507817,2925,2614.539,0,410.25,542.87,367.09,375.96,True,False,False
12/31/2015 00:00:00,1620.577,47.462526,4103.728,636.056,20.501111,1326.825,3654.837,0,362.919,13.466057,20.501111,5609.132,811.162,1954.295,1.522429,4300,3711.019,0,542.87,367.09,375.96,,False,False,
12/31/2016 00:00:00,2052.295,28.33752,4860.427,895.522,22.100517,1435.486,4449.245,127.274,351.569,14.234294,22.100517,6973.466,1241.495,2524.221,1.552625,5400,4560.733,127.274,367.09,375.96,,,False,,
12/31/2017 00:00:00,2075.142,,5872.227,1198.511,22.627668,2225.058,6144.078,0,703.453,15.231032,22.627668,8764.286,1135.483,2620.208,1.485629,6200,5475.166,0,375.96,,,,,,
12/31/2017 00:00:00,2075.14202709961,28.33752,5872.227,1198.511,22.6276683907401,2225.058,6144.078,0,703.453,15.2310317254968,22.6276683907401,8764.286,1135.483,2620.208,1.4321066056964,6200,5475.165984375,0,375.96,,,,,,
