Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
6/29/2001 00:00:00,388000,,3656000,-110000,,226000,653000,23000,877000,,,2966000,1288000,2313000,,,732000,23000,,,,,,,
6/28/2002 00:00:00,698000,,6087000,153000,23.647604,783000,641000,2000,749000,5.048672,23.647604,3095000,1603000,2454000,4.683926,,1593000,2000,,,,,,,
6/27/2003 00:00:00,670000,,6486000,641000,62.851303,1143000,1316000,4000,745000,19.38899,65.508431,3517000,1363000,2201000,3.378641,,1727000,4000,,,,,,,
7/2/2004 00:00:00,666000,,6224000,529000,27.688426,925000,1855000,4000,739000,14.184207,33.364869,3942000,1248000,2087000,2.352255,40000,1459000,4000,,,,,,,
7/1/2005 00:00:00,645000,,7553000,707000,26.615105,1188000,2541000,4000,736000,15.392989,32.165605,5244000,1780000,2703000,2.089627,44000,1673000,4000,,,,,,,
6/30/2006 00:00:00,805000,,9206000,840000,17.582871,1490000,5212000,330000,640000,11.360563,21.669031,9544000,3337000,4332000,1.907391,60000,2137000,330000,,,,,,,
6/29/2007 00:00:00,904000,3405.851,11360000,913000,14.091064,1494000,4737000,330000,1733000,9.60244,18.353603,9472000,2649000,4735000,1.911348,54000,2185000,330000,,,,,,,
6/27/2008 00:00:00,1028000,7361.933,12708000,1262000,22.459723,2308000,4586000,360000,1670000,12.882809,27.072831,10120000,3287000,5534000,2.101469,54000,3205000,360000,,,,,,,
7/3/2009 00:00:00,953000,13166.512,9805000,-3125000,,-1734000,1554000,771000,1926000,-36.322427,-101.791531,7087000,3194000,5533000,2.802443,47000,1410000,771000,10.28,13.17,16.36,25.13,1,1,1
7/2/2010 00:00:00,877000,2420.182,11395000,1609000,75.222066,2520000,2724000,329000,2173000,20.986044,75.222066,8247000,2997000,5523000,3.584385,,3204000,329000,13.17,16.36,24.53,45.22,1,1,1
7/1/2011 00:00:00,875000,5198.988,10971000,511000,16.572971,1560000,2463000,560000,2952000,5.849359,19.703104,9225000,3463000,6762000,3.368421,52700,2146000,560000,16.36,24.53,45.48,58.88,1,1,1
6/29/2012 00:00:00,1006000,9186.084,14939000,2862000,83.746309,3922000,3497000,0,2863000,29.61047,96.040268,10106000,3396000,6609000,3.243456,,4684000,0,24.73,44.83,56.82,49.02,1,1,1
6/28/2013 00:00:00,1133000,19758.406,14351000,1838000,37.757437,2964000,3506000,3000,2774000,18.998398,52.574371,9243000,2611000,5737000,2.767305,53200,3940000,3000,44.83,56.92,49.02,22.53,1,0,0
6/27/2014 00:00:00,1226000,2615.517,13724000,1570000,31.83847,2655000,2832000,0,3920000,16.760075,49.628576,9492000,2398000,6660000,2.961119,52100,3846000,0,56.92,50.06,20.87,39.51,0,0,0
7/3/2015 00:00:00,1353000,11647.291,13739000,1742000,36.847863,2899000,3018000,0,4155000,18.017273,59.555556,9845000,2343000,6827000,3.30547,52350,3809000,0,48.15,24.03,38.59,,0,0,
7/1/2016 00:00:00,1237000,10420.845,11160000,248000,-20.757753,1260000,1593000,0,4091000,2.746705,10.756886,8213000,2249000,6620000,3.916287,45500,2615000,0,24.03,38.75,,,1,,
6/30/2017 00:00:00,1232000,3136.738,10771000,772000,1.76395,1803000,1364000,0,5021000,8.832447,52.215083,9268000,2626000,7904000,5.911735,41000,3174000,0,38.75,,,,,,
12/29/2017 00:00:00,1125000,3136.738,10626000,648000,-7.07845084409136,1826000,1061000,560000,4316000,7.48656923343539,50.1547987616099,8750000,3113000,7689000,7.68823273990447,,3095000,560000,41.84,,,,,,
