Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
10/31/1995 00:00:00,0.634,,5.981,-0.774,,-0.552,,,,,,,,,,,2.448,,,,,,,,
10/31/1996 00:00:00,0.718,,12.529,0.55,,1.081,3.089,0.591,1.45,,,7.168,2.629,4.079,,70,6.292,0.591,,,,,,,
10/31/1997 00:00:00,1.248,,93.677002,-2.815,,-0.009,9.882,5.625,0.78,-17.453035,-56.96093,25.09,14.341,15.208,2.535807,96,13.587006,5.625,,,,,,,
10/31/1998 00:00:00,1.702,,194.052002,7.181,31.60095,12.525,35.566001,30.669001,0.314,10.680052,31.60095,109.385002,73.504997,73.818997,2.958876,240,46.497009,30.669001,,,,,,,
10/31/1999 00:00:00,5.263,,305.932007,16.332001,27.069091,30.326999,85.102997,56.144001,0.078,9.54803,27.069091,232.716995,147.535995,147.613995,2.835045,535,90.810013,56.144001,,,,,,,
10/31/2000 00:00:00,5.668,,365.29599,6.417,5.027125,43.335999,170.192003,84.694,12.616,2.276876,5.027125,330.950012,148.141998,160.757998,2.207905,658,128.022995,84.694,,,,,,,
10/31/2001 00:00:00,6.19,,451.395996,-6.918,,41.018001,220.061002,54.172001,0.291,-2.003876,-3.545392,359.511993,134.645004,139.451004,1.769268,662,145.072998,54.172001,,,,,,,
10/31/2002 00:00:00,11.524,,794.676025,71.563004,24.865316,133.534002,355.544006,0.095,0.201,16.819516,24.865316,491.440002,131.809998,135.895998,1.478361,939,294.59201,0.095,17.1867,26.3667,22.6667,20.65,True,True,False
10/31/2003 00:00:00,25.107,,1033.692993,98.117996,22.072896,175.527001,533.492004,0.103,0.073,16.370216,22.072896,707.297974,165.246994,173.805994,1.348357,1226,396.138977,0.103,26.3667,22.6667,20.65,13.99,False,False,False
10/31/2004 00:00:00,43.258999,,1127.750977,65.377998,11.18565,118.980004,635.469986,0,0,7.887268,11.18565,950.513,309.809998,315.042998,1.418191,1435,378.070984,0,22.6667,20.65,13.99,18.78,False,False,False
10/31/2005 00:00:00,73.724,,1201.22,35.314,,145.186,685.83,0,0,3.745387,5.345342,935.22,246.923,249.39,1.42718,2002,414.842,0,20.65,13.99,18.78,11.86,False,False,False
10/31/2006 00:00:00,64.258,,1037.84,-184.889,,-20.786,550.392,0,0,-20.497376,-29.911941,868.806,263.546,318.414,1.459306,2020,212.364,0,13.99,18.78,11.86,10.97,True,False,False
10/31/2007 00:00:00,48.455,2.939757,981.791,-138.406,,19.912,471.154,0,18,-16.283547,-27.09736,831.143,312.161,359.989,1.664094,1900,246.757,0,18.78,11.86,10.97,10.79,False,False,False
10/31/2008 00:00:00,63.929001,0.007051,1537.530029,97.097,17.877106,290.059998,615.118018,0,70,10.143353,17.877106,1083.352051,365.419006,468.234005,1.762445,2100,548.835022,0,11.86,10.97,10.79,15.78,False,False,False
10/31/2009 00:00:00,63.748,0.007051,968.488,-137.93,,-5.592,506.132,0,138,-13.18691,-24.602898,1008.571,354.293,502.439,1.865706,,250.662,0,10.97,10.79,15.78,11.15,False,True,False
10/31/2010 00:00:00,62.614,,1159.017,42.593,7.556539,256.799,621.183,0,104.05,4.141622,7.556539,1048.256,301.475,427.073,1.824536,,455.57,0,10.79,15.78,11.15,17.91,True,False,True
3/31/2011 00:00:00,69.576,0,1136.876,48.458,7.327196,239.879,615.279,0,107.239,4.798024,7.327196,971.659,230.888,356.38,1.633625,,447.495,0,15.37,15.385,15.89,21.93,False,False,True
3/31/2012 00:00:00,64.162,0,825.823,-108.816,,79.54,595.727,0,316.34,-10.260404,-17.971174,1149.427,218.725,553.7,1.751507,2235,296.968,0,15.385,15.89,21.93,25.455,False,True,True
3/31/2013 00:00:00,78.184,0.011424,1214.483,-29.491,,253.621,587.995,0,335.202,-2.429977,-4.982758,1277.839,336.999,689.844,2.050537,2440,498.646,0,15.89,21.93,25.455,37.67,True,True,True
3/31/2014 00:00:00,105.256,0.019902,2350.568,361.605,52.036946,697.706,801.806,0,454.031,23.500155,52.036946,1799.63,474.82,997.824,2.214323,2530,936.241,0,21.93,25.455,37.67,59.27,True,True,True
3/31/2015 00:00:00,115.043,0.020914,1082.938,-279.47,,-103.609,563.088,0,473.03,-13.877389,-40.951165,2228.073,966.26,1664.985,2.950927,2840,288.071,0,25.455,37.67,59.27,97.78,True,True,True
3/31/2016 00:00:00,119.807,0.022874,1413.698,-8.302,,152.604,581.385,0,497.935,-0.344599,-1.450799,2590.277,1220.411,2008.892,4.210104,2933,599.825,0,37.67,59.27,97.78,,True,True,
3/31/2017 00:00:00,137.915,0.02327,1779.748,67.303,8.331015,350.661,1003.728,0,251.929,2.345285,8.331015,3149.154,1685.892,2145.426,3.620834,3707,756.789,0,59.27,97.78,,,True,,
12/31/2017 00:00:00,178.666002990723,0.02327,1914.174,181.96,16.1458063743704,376.803,1400.82,0,13.838,5.37412343028916,16.1458063743704,3682.61,2072.117,2281.79,2.56815414931997,,890.174016601562,0,109.78,,,,,,
