Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
1/2/1988 00:00:00,9.334,,383.382996,18.110001,,19.151,187.455006,9.122,131.927002,,,426.14801,95.110001,238.693003,,,95.539001,9.122,,,,,,,
12/31/1988 00:00:00,13.806,,500.604004,20.148001,11.737258,30.323999,203.890995,11.275,148.485001,4.397893,11.737258,490.109009,123.139999,286.218,2.668837,,121.174011,11.275,,,,,,,
12/31/1989 00:00:00,17.243999,,615.322998,26.193001,12.902511,33.119999,276.344006,27.937,176.378006,4.557111,12.902511,659.434998,169.421997,383.091003,2.831292,6061,148.611999,27.937,,,,,,,
12/30/1990 00:00:00,22.226,,720.682983,34.966,13.07832,56.242001,394.126991,7.041,210.014008,4.471907,13.07832,904.372009,256.708008,510.245015,2.924551,5965,201.347961,7.041,,,,,,,
12/29/1991 00:00:00,26.171,,805.484009,47.054001,11.89503,61.633002,603.472001,4.904,254.968994,4.473105,11.89503,1199.490967,227.578995,596.01899,2.659233,5965,219.255005,4.904,,,,,,,
1/2/1993 00:00:00,38.674999,,948.971985,59.155998,11.443904,97.490002,717.194,22.034,494.152008,3.920529,11.443904,1818.265015,326.369995,1101.071014,2.918969,,277.653992,22.034,,,,,,,
12/31/1993 00:00:00,58.943001,,1249.718018,76.633003,10.858963,161.089001,1136.20398,64.685997,647.460999,3.57099,10.858963,2473.709961,416.246002,1337.506012,3.040883,8800,407.197998,64.685997,,,,,,,
12/31/1994 00:00:00,229.199997,,1729.19104,104.710999,11.22299,247.759995,1335.220032,94.002998,1049.849976,3.783154,11.22299,3061.935059,560.892029,1726.715005,2.966569,10234,800.54602,94.002998,,,,,,,
12/30/1995 00:00:00,272.80899,,2270.291016,139.582001,12.047393,333.025009,1781.377014,112.279999,1118.077026,4.076414,12.047393,3786.339111,739.445984,2004.962005,2.95539,14400,1030.529053,112.279999,,,,,,,
12/28/1996 00:00:00,301.457001,,2932.558105,190.815994,12.454954,399.273995,2438.418945,153.787003,1550.342041,4.274751,12.454954,5141.244141,913.211975,2702.825012,2.913609,17760,1274.812133,153.787003,,,,,,,
