Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1987 00:00:00,,,1590.493042,192.987,,,967.834999,96.379997,300.105011,,,4241.157227,,3273.322044,,5854,,96.379997,,,,,,,
12/31/1988 00:00:00,,,1669.79895,180.067001,12.860464,,854.680988,5.271,497.463013,4.154379,19.89858,4427.623047,,3572.941959,5.012478,5976,,5.271,,,,,,,
12/31/1989 00:00:00,,,1663.572998,211.307999,17.22556,,946.295021,125.976997,498.234985,4.520428,23.950945,4921.403809,,3975.109007,5.497862,5968,,125.976997,,,,,,,
12/31/1990 00:00:00,,,1796.125,229.177002,16.31634,,1003.132973,0.779,529.294006,4.383101,24.209035,5535.89502,,4532.762002,5.69467,6062,,0.779,,,,,,,
12/31/1991 00:00:00,,,1931.972046,246.488998,15.957147,,1149.820976,11.499,667.125,4.214699,23.787084,6160.742188,,5010.920915,5.787441,6272,,11.499,,,,,,,
12/31/1992 00:00:00,,,2045.810059,265.47699,16.787093,,1203.619003,276.819,497.867004,4.1061,23.897367,6770.115234,,5566.495819,5.896663,6242,,276.819,,,,,,,
12/31/1993 00:00:00,,,2119.601074,297.979004,14.744585,,1417.254943,107.108002,792.335022,4.133901,23.287231,7646.242188,,6228.986909,5.696105,6052,,107.108002,,,,,,,
12/31/1994 00:00:00,,,1875.337036,268.946014,13.988506,,1242.603043,250.115997,984.570007,3.401907,20.169713,8165.244141,,6922.640868,5.946721,6270,,250.115997,,,,,,,
12/31/1995 00:00:00,,,2067.481934,143.235001,7.079726,,1588.951934,189.371994,985.083984,1.634231,10.117056,9364.103516,,7775.151993,6.190714,5736,,189.371994,,,,,,,
12/31/1996 00:00:00,,,2205.810059,311.372009,14.349001,,1629.343033,81.809998,944.125,3.249398,19.350122,9800.799805,,8171.457199,5.954987,4828,,81.809998,,,,,,,
12/31/1997 00:00:00,,,2071.103027,337.743011,13.007459,,1932.735993,347.152008,757.497009,3.227597,18.963252,11127.648438,,9194.911895,5.875346,4781,,347.152008,16.1859,15.6944,12.9167,17.0833,False,False,False
12/31/1998 00:00:00,,,2157.875977,244.440994,8.319397,,2259.528015,355.391998,576.68103,2.184784,11.661527,11249.02832,,8989.500183,5.337612,4081,,355.391998,15.6944,12.9167,17.0833,17.48,False,False,False
12/31/1999 00:00:00,,,2226.895,273.956,10.508053,,2186.661,418.394,371.555,2.343438,12.883362,12131.66,,9945.003,5.497632,,,418.394,12.9167,17.0833,17.48,16.2356,True,True,False
12/31/2000 00:00:00,,,2515.894,362.035,15.067454,,2395.755,329.148,365.989,2.885405,17.257443,12962.56,,10566.803,5.980942,,,329.148,17.0833,17.48,16.2356,20.24,False,False,False
12/31/2001 00:00:00,,,2707.042,356.513,13.430852,,2641.684,204.037,536.152,2.808216,15.172422,12428.15,,9786.469,5.402868,4627,,204.037,17.48,16.2356,20.24,25.3956,False,False,True
12/31/2002 00:00:00,,,2761.049,383.433,12.72663,,2995.88,201.479,551.564,3.09359,14.337749,12360.722,,9364.842,4.634664,4702,,201.479,16.2356,20.24,25.3956,24.7111,True,True,True
12/31/2003 00:00:00,,,2930.638,430.141,12.61193,,3240.099,182.448,693.403,3.331636,14.122542,13460.886,,10220.787,4.238921,2082,,182.448,20.24,25.3956,24.7111,28.3378,True,True,True
12/31/2004 00:00:00,,,3071.5,468.6,12.64642,,3419.8,170.4,540.1,3.381796,14.072285,14252.2,,10832.4,4.161187,2091,,170.4,25.3956,24.7111,28.3378,26.9022,False,False,False
12/31/2005 00:00:00,,,3125.91,495.39,13.119899,,3432.768,381.505,353.263,3.413998,14.458521,14768.903,,11336.135,4.23507,2169,,381.505,24.7111,28.3378,26.9022,19.8667,True,False,False
12/31/2006 00:00:00,,,3421.178,518.631,13.615109,,3459.193,169.736,597.537,3.486682,15.050317,14980.355,,11521.162,4.316516,2495,,169.736,28.3378,26.9022,19.8667,19.5333,False,False,False
12/31/2007 00:00:00,,6.039889,3486.697,527.535,14.113729,,3324.627,202.058,598.012,3.491091,15.552742,15241.428,,11916.801,4.45498,2354,,202.058,26.9022,19.8667,19.5333,26.5511,False,False,False
12/31/2008 00:00:00,,4.710916,3326.918,452.259,14.549924,,2222.907,403.707,499.049,3.14391,16.304866,13529.05,,11306.143,5.186174,2195,,403.707,19.8667,19.5333,26.5511,28.9267,False,True,True
12/31/2009 00:00:00,,2.836298,3115.073,404.953,12.645811,,3398.891,466.307,563.05,2.740538,14.40653,16023.759,,12624.868,5.256825,2360,,466.307,19.5333,26.5511,28.9267,34.4467,True,True,True
12/31/2010 00:00:00,,8.048168,3367.632,517.064,12.637394,,4016.241,397.875,590.643,3.213222,13.946185,16159.762,,12143.521,4.340249,2224,,397.875,26.5511,28.9267,34.4467,52.1,False,True,True
12/31/2011 00:00:00,,10.532607,3377.401,497.161,11.361067,,3859.631,224.842,790.571,3.03628,12.624913,16588.272,,12728.641,4.15802,2249,,224.842,28.9267,34.4467,52.1,54.17,True,True,True
12/31/2012 00:00:00,,23.361587,3589.516,529.324,11.475686,,4361.786,412.999,895.73,2.993475,12.87671,18776.91,,14415.124,4.301592,2570,,412.999,34.4467,52.1,54.17,57.16,True,True,True
12/31/2013 00:00:00,,13.404823,3771.938,528.472,11.11576,,3776.342,229.07,990.865,2.859028,12.987557,18191.744,,14415.402,4.542648,2890,,229.07,52.1,54.17,57.16,73.76,False,False,True
12/31/2014 00:00:00,,14.983349,3620.095,542.939,11.21298,,4697.466,238.398,992.13,2.823102,12.814522,20272.259,,15574.793,4.539164,2980,,238.398,54.17,57.16,73.76,90.71,False,True,True
12/31/2015 00:00:00,,11.630082,3766.065,527.1,10.476655,,4055.552,490.129,743.733,2.627259,12.043846,19853.213,,15797.661,4.584187,3115,,490.129,57.16,73.76,90.71,,True,True,
12/31/2016 00:00:00,,12.365746,3934.629,549.779,11.169645,,4566.861,264.475,1133.165,2.663058,12.752324,21436.087,,16869.226,4.788602,3128,,264.475,73.76,90.71,,,True,,
12/31/2017 00:00:00,,20.107639,4155.573,1454.494,25.655555,,6231.421,328.067,1132.201,6.477218,26.939359,23474.985,,17243.564,4.159094,3102,,328.067,90.71,,,,,,
12/31/2017 00:00:00,,20.107639,4155.674,1454.148,26.4805498082848,,6231.421,328.067,1132.201,6.47567708915966,26.9329510009092,23474.985,,17243.564,4.07651196506112,3102,,328.067,90.71,,,,,,
