Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1987 00:00:00,,,5943,583,,1472,4134,138,2747,,,10919,1565,6785,,46559,,138,,,,,,,
12/31/1988 00:00:00,,,6068,644,8.903734,1642,4482,134,3222,5.564436,15.455538,12228,1860,7746,2.80808,47259,,134,,,,,,,
12/31/1989 00:00:00,,,6492,595,8.650066,1767,3911,199,3837,4.820351,14.178482,12459,1868,8548,2.94138,48126,,199,,,,,,,
12/31/1990 00:00:00,,,6964,618,9.330728,1934,4277,201,3883,4.840036,15.095261,13078,1814,8801,3.118832,48323,,201,,,,,,,
12/31/1991 00:00:00,,,7029,64,-4.763033,1996,4163,137,3913,0.484775,1.516588,13326,1868,9163,3.128436,47090,,137,,,,,,,
12/31/1992 00:00:00,,,7294,728,9.975006,2224,4639,110,3989,5.309218,16.541695,14098,2084,9459,3.115656,46039,,110,,,,,,,
12/31/1993 00:00:00,0,,7561,530,6.25162,2438,4885,115,4069,3.642737,11.129777,15001,2089,10116,3.055334,47000,,115,,,,,,,
12/31/1994 00:00:00,0,,7798,546,7.101456,2600,5131,470,4090,3.52907,10.902556,15942,2505,10811,3.089357,46900,,470,,,,,,,
12/31/1995 00:00:00,0,,7486,946,7.072992,1884,6580,132,6232,5.346445,16.45933,19446,1899,12866,3.078556,49500,,132,,,,,,,
12/31/1996 00:00:00,0,,8786,904,6.424695,2194,8225,127,7900,3.817568,12.392899,27914,3056,19689,3.246281,54800,,127,,,,,,,
12/31/1997 00:00:00,0,,11079,432,0.109422,2187,8225,233,8285,1.524401,5.25228,28764,3247,20539,3.445471,52000,,233,15.5625,11.2656,10.9063,12.6875,0,0,0
12/31/1998 00:00:00,,,10514,-633,,1446,8893,181,8511,-2.177577,-8.106032,29374,2932,20481,3.7225,53000,,181,11.2656,10.9063,12.6875,14.25,0,0,0
12/31/1999 00:00:00,,,11237,810,7.862445,2887,9501,214,8426,2.733624,10.523581,29888,2885,20387,3.849682,65000,,214,10.9063,12.6875,14.25,14.9675,1,1,1
12/31/2000 00:00:00,,,11878,842,7.753706,3043,10162,207,8144,2.769509,10.106223,30917,2962,20755,3.649103,50000,,207,12.6875,14.25,14.9675,17.37,1,0,1
12/31/2001 00:00:00,,,11973,966,8.411471,3246,11075,194,7886,3.092784,10.593848,31551,2746,20476,3.425344,48000,,194,14.25,14.9675,17.37,16.8125,0,1,0
12/31/2002 00:00:00,,,11159,1341,11.15321,3400,12151,275,7428,4.1701,13.26016,32764,2523,20613,3.179818,47000,,275,14.9675,17.37,16.8125,20.1275,1,0,1
12/31/2003 00:00:00,,,11551,1585,10.72555,3200,12354,167,7822,4.786784,13.779613,33460,2456,21106,2.878679,46000,,167,17.37,16.8125,20.1275,23.005,0,0,0
12/31/2004 00:00:00,,,12215,604,2.343796,2406,12655,150,7981,1.775191,4.830261,34589,2516,21934,2.72098,48000,,150,16.8125,20.1275,23.005,31.405,1,1,1
12/31/2005 00:00:00,,,13578,1026,5.385934,2970,13707,656,6760,2.922702,7.783931,35620,3384,21913,2.663265,49747,,656,20.1275,23.005,31.405,23.9,1,1,0
12/31/2006 00:00:00,,,15578,1606,8.842483,4121,15312,780,6000,4.452762,11.06861,36515,3539,21203,2.485785,50739,,780,23.005,31.405,23.9,31.95,1,0,1
12/31/2007 00:00:00,,11.588386,16283,1855,9.444283,4696,15585,139,7543,4.976659,12.007638,38033,3041,22448,2.412791,50089,,139,31.405,23.9,31.95,46.33,0,0,1
12/31/2008 00:00:00,,17.428212,17970,2338,11.839392,5462,15447,320,8607,6.013761,15.068317,39722,2880,24275,2.505639,48242,,320,23.9,31.95,46.33,52.97,1,1,1
12/31/2009 00:00:00,,15.284347,14143,1890,8.347805,4806,16801,212,9636,4.615047,11.721657,42184,2682,25383,2.539878,43531,,212,31.95,46.33,52.97,62.86,1,1,1
12/31/2010 00:00:00,,15.264572,16965,2780,12.307603,6468,17763,239,9003,6.520311,16.086101,43088,2952,25325,2.467076,,,239,46.33,52.97,62.86,84,1,1,1
12/31/2011 00:00:00,,19.134212,19557,3292,12.955065,7341,18578,209,8697,7.466207,18.117278,45096,3317,26518,2.426571,,,209,52.97,62.86,84,119.13,1,1,1
12/31/2012 00:00:00,0,27.455072,20926,3943,14.370043,8505,19877,196,8801,8.548602,20.507086,47153,3119,27276,2.398882,,,196,62.86,84,119.13,78.2,1,1,0
12/31/2013 00:00:00,0,17.812887,21963,4388,14.680551,9223,21225,705,8872,9.058255,21.351759,49731,3791,28506,2.35716,46445,,705,84,119.13,78.2,103.68,1,0,0
12/31/2014 00:00:00,0,28.144047,23988,5180,16.34366,10657,21189,461,10952,10.146617,24.425897,52372,3764,31183,2.407295,47201,,461,119.13,78.2,103.68,134.1,0,0,0
