Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2007 00:00:00,,,20143000,403000,,,,,,,,,,,,,,,,,,,,,
12/31/2008 00:00:00,,,20194000,-5348000,,,,,,,,,,,,,,,,,,,,,
12/31/2009 00:00:00,0,3864.044,16335000,-651000,,756000,-2811000,971000,7572000,,,18684000,6473000,21495000,,47000,,971000,,,,,,,
12/31/2010 00:00:00,0,21203.792,23325000,253000,,2055000,1727000,2663000,12470000,0.868193,,39598000,12645000,37871000,,86000,,2663000,23.82,18.87,23.38,37.83,0,0,1
12/31/2011 00:00:00,0,14700.832,37110000,840000,47.551656,3369000,1806000,1311000,11424000,2.165339,47.551656,37988000,11394000,36182000,21.960374,87000,,1311000,18.87,23.38,37.83,66.89,1,1,1
12/31/2012 00:00:00,0,9626.872,37152000,-723000,,1561000,481000,1934000,11232000,-1.912294,-63.226935,37628000,12818000,37147000,33.063402,88000,,1934000,23.38,37.83,66.89,57.3,1,1,1
12/31/2013 00:00:00,0,8138.305,38279000,571000,32.958153,2938000,2984000,1485000,10924000,1.534121,32.958153,36812000,12107000,33828000,21.483405,87000,,1485000,37.83,66.89,57.3,72.88,1,1,1
12/31/2014 00:00:00,0,12762.226,38901000,1132000,42.081784,4052000,2396000,1423000,10524000,3.084175,42.081784,36595000,12508000,34199000,13.644424,84000,,1423000,66.89,57.3,72.88,67.4,0,0,0
12/31/2015 00:00:00,0,24422.635,37864000,7340000,129.202605,6985000,8966000,1359000,10400000,18.952696,129.202605,40861000,12414000,31895000,6.81711,84000,,1359000,57.3,72.88,67.4,,1,0,
12/31/2016 00:00:00,0,23581.874,36556000,2263000,25.679433,6315000,8659000,965000,10740000,5.587585,25.679433,40140000,12286000,31481000,4.595801,84000,,965000,72.88,67.4,,,0,,
12/31/2017 00:00:00,0,,37736000,2131000,24.403092,5647000,8806000,1693000,12699000,5.168191,24.403092,42326000,12676000,33520000,4.721786,89800,,1693000,67.4,,,,,,
12/31/2017 00:00:00,0,23581.874,37736000,2131000,24.4030918980819,5647000,8806000,1693000,12699000,5.16819052700507,24.4030918980819,42326000,12676000,33520000,4.77559630963096,89800,,1693000,67.4,,,,,,
