Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1995 00:00:00,,,2337400,-14889,,182760,772064,9572,778100,,,1912454,,1140390,,43643,,9572,,,,,,,
12/31/1996 00:00:00,,,2589986,48005,6.11858,228635,833286,54692,710507,2.473649,6.11858,1968856,,1135570,2.473503,48300,,54692,,,,,,,
12/31/1997 00:00:00,,,3122061,130933,,451067,907400,27468,1919624,4.937519,15.381796,3334739,,2427339,3.115289,52800,,27468,12.9372,10.6734,3.6673,4.9262,0,0,0
12/31/1998 00:00:00,,,150134.003,26757.999,,122736,-9009.003,0,931127.014,1.246168,,959705.994,,968715.027,4.791084,,,0,10.6734,3.6673,4.9262,10.0713,0,0,0
12/31/1999 00:00:00,,,233245,42535,,178594,8345,0,974247,4.188773,,1071199,,1062854,,10,,0,3.6673,4.9262,10.0713,10.0275,1,1,1
12/31/2000 00:00:00,,,242322,-65452,,173568,-117514,0,886385,-6.378268,,981145,,1098659,,9,,0,4.9262,10.0713,10.0275,19.2669,1,1,1
12/31/2001 00:00:00,,,187333,50566,,171009,-91074,0,848368,5.259063,,941859,,1032933,,9,,0,10.0713,10.0275,19.2669,24.0048,0,1,1
12/31/2002 00:00:00,,,178123,65706,,158890,-53627,366038,341671,7.151133,,895780,,949407,,20,,366038,10.0275,19.2669,24.0048,28.042,1,1,1
12/31/2003 00:00:00,,,195964,162753,,173858,56315,640562,0,19.050701,,812850,,756535,635.651042,22,,640562,19.2669,24.0048,28.042,37.0624,1,1,1
12/31/2004 00:00:00,,,236856,120900,-10.293412,218805,160224,491038,352140,12.465299,111.665797,1126935,,966711,8.958132,24,,491038,24.0048,28.042,37.0624,39.6284,1,1,1
12/30/2005 00:00:00,,,332988,130583,-2.630879,305491,667319,1180238,622326,6.93474,31.559206,2639118,,1971799,4.550885,32,,1180238,28.042,37.0624,39.6284,28.1909,1,1,0
12/31/2006 00:00:00,,,415852,131430,-5.945818,383434,709876,2329053,0,4.460608,19.086622,3253800,,2543924,4.278928,37,,2329053,37.0624,39.6284,29.3995,38.306,0,0,0
12/31/2007 00:00:00,,4069.857,752720,282318,-16.430394,528208,1855108,1799677,1560822,6.294415,21.876118,5716628,,3861520,3.540684,53,,1799677,39.6284,29.3995,38.306,45.9602,0,0,0
12/31/2008 00:00:00,,7581.01,923698,222603,-7.227348,584970,2179735,1679071,1457927,3.875385,11.174143,5771418,,3591683,2.883363,63,,1679071,29.3995,38.306,45.9602,48.281,1,1,1
12/31/2009 00:00:00,,6251.425,923465,266495,-7.501039,572767,2484060,1161597,1508504,4.680416,11.521345,5616245,,3132185,2.461607,61,,1161597,38.306,45.9602,48.281,56.6796,1,1,1
12/31/2010 00:00:00,,8541.106,1000634,246167,-5.830013,611472,2390205,1577433,1322611,4.32849,10.146537,5758021,,3367816,2.344128,61,,1577433,45.9602,48.281,56.6796,50.1639,0,1,0
12/31/2011 00:00:00,,18498.831,1731704,364493,-2.738804,1048850,9458781,3560485,2868631,3.165385,6.251122,17271910,,7813129,1.974838,328,,3560485,48.281,56.6796,50.1639,62.7924,1,0,0
12/31/2012 00:00:00,,11166.819,2469615,362800,-5.390905,1381425,9263918,5305706,3107940,2.00155,3.966309,18980000,,9716082,1.981619,439,,5305706,56.6796,50.1639,62.7924,56.43,0,0,0
12/31/2013 00:00:00,,9960.041,2516617,453509,-5.808978,1401633,9060471,6795588,2569404,2.34302,5.08321,19731494,,10671023,2.169512,465,,6795588,50.1639,62.7924,56.43,62.52,1,0,0
12/31/2014 00:00:00,,10065.843,2776813,475767,-7.857262,1502542,8926413,8587608,2256743,2.326637,5.43595,21165913,,12239500,2.336399,479,,8587608,62.7924,56.43,62.52,60.01,0,0,0
12/31/2015 00:00:00,,10923.71,3286398,417843,-7.260288,1724820,9821956,9199751,2007245,1.92431,4.580479,22261918,,12439962,2.380323,468,,9199751,56.43,62.52,60.01,,1,0,
12/31/2016 00:00:00,,9666.023,3443522,649231,-5.557047,1849939,10729481,9410713,1716613,2.858253,6.484345,23166600,,12437119,2.268639,493,,9410713,62.52,60.01,,,0,,
12/31/2017 00:00:00,,25254.607,3574149,1356470,-9.355415,1941661,11090675,10867675,408387,5.757373,12.721001,23954541,,12863866,2.209515,493,,10867675,60.01,,,,,,
12/31/2017 00:00:00,,25254.607,3574149,1356470,-7.46695493484435,1941661,11090675,10867675,408387,5.75737331997118,12.7210012197989,23954541,,12863866,2.20831995605431,493,,10867675,60.01,,,,,,
