Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
9/30/2005 00:00:00,0,,2664.605,360.445,,720.784,,,,,,,,,,5479,,,,,,,,,
9/30/2006 00:00:00,0,,2948.126,454.561,,892.711,620.654,32.339,41.28,,,2963.918,1392.963,2343.264,,5479,,32.339,,,,,,,
9/30/2007 00:00:00,0,11.147317,3589.796,-1076.095,,1339.975,-462.717,41.28,0,-29.26543,,4390.117,3282.089,4852.834,90.247954,5479,,41.28,,,,,,,
9/30/2008 00:00:00,0,17.974496,6263,804,,2939,22277,51,55,4.084212,,34981,7165,12704,1.808032,5765,,51,,,,,,,
9/30/2009 00:00:00,0,13.167514,6911,2353,8.951744,3764,23193,12,44,6.996521,10.350592,32281,4442,9088,1.479391,5700,,12,,,,,,,
9/30/2010 00:00:00,0,12.914881,8065,2966,10.780083,4854,25014,12,32,9.030431,12.307054,33408,3498,8394,1.362842,,,12,,,,,,,
9/30/2011 00:00:00,0,11.82409,9188,3650,12.544705,5744,26437,0,,10.708837,14.189084,34760,3451,8323,1.324988,,,0,,,,,,,
9/30/2012 00:00:00,0,9.700114,10421,2144,5.75626,2472,27630,0,0,5.73469,7.930901,40013,7954,12383,1.382969,8500,,0,,,,,,,
9/30/2013 00:00:00,0,30.400153,11778,4980,15.121534,7636,26870,0,0,13.110611,18.275229,35956,4335,9086,1.393927,,,0,44.73,57.76,54.41,63.07,1,1,1
9/30/2014 00:00:00,0,7.692113,12702,5438,19.11464,8132,27413,0,0,14.59376,20.035739,38569,6006,11156,1.372898,,,0,57.76,54.41,63.07,88.86,0,0,1
9/30/2015 00:00:00,0,11.841368,13880,6328,18.791442,9558,29842,0,0,16.238965,22.10462,39367,5355,9525,1.361209,11300,,0,54.41,63.07,88.86,,1,1,
9/30/2016 00:00:00,0,16.44234,15082,5991,16.273647,8385,32912,0,15882,11.587784,21.007416,64035,8046,31123,1.812893,,,0,63.07,88.86,,,1,,
9/30/2017 00:00:00,0,26.381013,18358,6699,19.51298,12700,32760,1749,16618,10.149077,24.615554,67977,9994,35217,2.425398,,,1749,88.86,,,,,,
12/31/2017 00:00:00,,26.381013,18759,7151,21.9491458956194,12926,33401,0,16621,10.9573718243388,26.5175955797827,67154,8363,33753,2.44984499356406,,,0,96.71,,,,,,
