Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1995 00:00:00,,,457.099,30.263,,111.231,402.849,38.925,334.86,,,908.037,105.243,505.188,,,,38.925,,,,,,,
12/31/1996 00:00:00,,,1313.388,32.946,4.228929,263.476,1155.276,28.695,1158.305,1.762505,4.228929,2830.505,319.961,1675.229,2.399385,,,28.695,,,,,,,
12/31/1997 00:00:00,,,11972.498,-938.895,,3051.724,2628.976,39.286,2724.443,-19.863752,-49.621167,6622.845,568.65,3993.869,2.498076,68000,4490.225,39.286,38.75,46.625,17.1875,27.75,True,False,False
12/31/1998 00:00:00,,,12625.769,-770.702,,4009.631,4484.572,583.742,11114.201,-5.253943,-22.015428,22715.198,4293.666,18230.626,4.190268,68000,5342.518,583.742,46.625,17.1875,27.75,31.91,False,False,False
12/31/1999 00:00:00,,,13126.92,-397.564,,2937.59,4410.286,3098.742,8399.346,-1.751514,-9.061176,22681.424,7489.455,18271.138,5.173341,75000,3243.734,3098.742,17.1875,27.75,31.91,22.92,True,True,True
12/31/2000 00:00:00,,,12492,-97,,3216,4816,113,8372,-0.470344,-2.107868,18565,2937,13749,4.481547,57000,3525,113,27.75,31.91,22.92,29.6,True,False,False
12/31/2001 00:00:00,,,11322,503,9.746493,3034,5405,515,7709,2.643542,9.869518,19490,3721,14085,3.733445,57000,3285,515,31.91,22.92,29.6,29.94,False,False,False
12/31/2002 00:00:00,,,11142,822,15.250531,2870,5327,231,8062,4.178315,15.364486,19856,3277,14529,3.677196,53000,3177,231,22.92,29.6,29.94,30.35,True,True,False
12/31/2003 00:00:00,,,11574,630,11.495522,2841,5813,514,7997,3.11019,11.59047,20656,3332,14843,3.726612,51700,2792,514,29.6,29.94,30.35,36.77,False,False,False
12/31/2004 00:00:00,,,12516,939,8.727031,3021,6253,384,8182,4.518659,16.282296,20905,3205,14652,3.603347,,2952,384,29.94,30.35,36.77,32.67,False,True,False
12/31/2005 00:00:00,,,13074,1182,12.12041,3167,6402,522,8165,5.623216,19.550116,21135,3257,14733,3.476679,,3082,522,30.35,36.77,32.67,33.14,True,False,False
12/31/2006 00:00:00,,,13363,1149,11.002187,3388,6497,822,7495,5.50617,18.61784,20600,3268,14103,3.381269,,3442,822,36.77,32.67,33.14,33.81,False,False,False
12/31/2007 00:00:00,,6.329879,13310,1163,11.12036,3476,6102,329,8008,5.704476,19.360746,20175,2598,14073,3.393957,,4908,329,32.67,33.14,33.81,36.87,False,False,False
12/31/2008 00:00:00,,5.624746,13388,1087,9.50915,3445,6185,835,7491,5.380922,18.59073,20227,3036,14042,3.454934,45900,4922,835,33.14,33.81,36.87,32.71,False,False,False
12/31/2009 00:00:00,0,5.480804,11791,994,6.974645,3053,6591,749,8124,4.804137,16.312464,21154,2901,14563,3.395503,45900,4550,749,33.81,36.87,32.71,33.74,False,False,False
12/31/2010 00:00:00,0,6.961423,12515,953,5.56397,3310,6591,233,8674,4.47103,15.193304,21476,2485,14885,3.398167,42800,4691,233,36.87,32.71,33.74,44.87,False,False,False
12/31/2011 00:00:00,0,7.436413,13378,961,5.255474,3257,6390,631,9125,4.363719,15.587997,22569,3068,16179,3.572182,,4837,631,32.71,33.74,44.87,51.32,False,True,True
12/31/2012 00:00:00,0,7.662138,13649,817,2.559562,3148,6675,743,9173,3.578154,13.151964,23097,3036,16422,3.675628,43500,4770,743,33.74,44.87,51.32,53.37,True,True,True
12/31/2013 00:00:00,0,10.726582,13983,98,-9.700688,2412,6002,726,9500,0.428884,1.625073,22603,3014,16601,3.789072,42700,4871,726,44.87,51.32,53.37,70.91,True,False,True
12/31/2014 00:00:00,0,10.770856,13996,1298,10.45537,3591,5889,1090,8345,5.91344,22.431522,21297,3485,15408,3.793312,40600,4994,1090,51.32,53.37,70.91,86.3,False,True,True
12/31/2015 00:00:00,0,11.573375,12961,753,1.034698,3290,5367,253,8676,3.614631,13.433235,20367,2510,15000,3.71635,40600,4730,253,53.37,70.91,86.3,,True,True,
12/31/2016 00:00:00,0,22.449522,13609,1182,8.569818,3597,5320,417,8893,5.734245,22.21387,20859,2794,15539,3.873896,41200,5123,417,70.91,86.3,,,True,,
12/31/2017 00:00:00,0,8.994105,14485,1949,21.191234,4012,6042,739,8752,9.131372,34.446801,21829,3262,15787,3.772358,42300,5464,739,86.3,,,,,,
12/31/2017 00:00:00,0,8.994105,14485,1949,27.4277407659242,4012,6042,739,8752,9.13137181409295,34.446800989749,21829,3262,15787,3.78666902717536,42300,5464,739,86.3,,,,,,
