Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/28/1987 00:00:00,46841.999,,8822666.016,446622.986,,1479418.03,3749235.936,1656074.951,3946391.113,,,12921652.344,2440115.967,9172416.016,,39835,1885540.039,1656074.951,,,,,,,
12/26/1988 00:00:00,57456.001,,9327883.789,565590.027,7.68845,1710323.059,4077988.973,2392024.902,4396459.961,3.996283,14.014488,15384151.367,3266356.934,11306161.865,3.651558,46976,2274520.02,2392024.902,,,,,,,
12/31/1989 00:00:00,64752.998,,10105610.352,341071.014,1.795747,1829544.037,4172544.965,2423989.99,3843112.061,2.175191,7.788284,15975952.148,3387666.992,11803406.982,3.832296,45214,2418903.32,2423989.99,,,,,,,
12/30/1990 00:00:00,57224.998,,9024315.43,393697.998,3.395248,1471218.018,3935544.014,961708.008,5300752.93,2.435363,9.50582,16355819.336,1751029.053,12420275.147,4.037753,40621,1973185.547,961708.008,,,,,,,
12/29/1991 00:00:00,56257,,8701597.656,-161947.998,,1121718.964,3579883.919,1014333.008,5125587.891,-0.971444,-4.404847,16985873.047,1927568.97,13405989.869,4.534328,38669,1611434.57,1014333.008,,,,,,,
12/27/1992 00:00:00,42980.999,,9266468.75,372049.011,3.590122,1347136.017,3739464.95,633903.015,5553476.074,2.117267,10.428322,18158402.344,1643626.953,14418937.988,4.92537,39000,1921040.527,633903.015,,,,,,,
12/31/1993 00:00:00,44456.001,,9544791.992,579336.975,8.125189,1468475.983,4075409.951,308183.99,5302452.148,3.762313,15.221506,12638453.125,1365225.952,8563043.09,4.045785,36748,2013947.754,308183.99,,,,,,,
12/31/1994 00:00:00,47000,,10398000,589000,8.284787,1754000,4393000,743000,4666000,4.593407,14.268245,13007000,2083000,8614000,3.106245,36665,2224000,743000,,,,,,,
12/31/1995 00:00:00,51000,,11788000,799000,11.235187,2514000,4597000,487000,4736000,6.085301,18.208751,13253000,1941000,8656000,2.992252,39431,3011000,487000,,,,,,,
12/29/1996 00:00:00,54000,,11114000,463000,3.212321,1687000,4717000,341000,5083000,3.448918,10.187019,13596000,1728000,8879000,2.953685,39700,2177000,341000,,,,,,,
