Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
3/30/1990 00:00:00,,,49899.998,8400,,,22739,1125,1983,,,34538,9834,11817,,,,1125,,,,,,,
3/31/1991 00:00:00,12431,,97638,15932,30.095015,25764.999,83273.001,1729,3813,21.797635,30.095015,111642.998,24556.999,28369.999,1.380655,332,59285.999,1729,,,,,,,
3/31/1992 00:00:00,17669.001,,135826.996,21264.999,22.158542,39202.001,108662.002,2065,4959,16.469685,22.158542,146589.005,32967.999,37926.999,1.345414,482,83794.995,2065,,,,,,,
4/3/1993 00:00:00,24326,,177998.001,27231.001,23.478948,50204.999,123299,1764,3911,17.597452,23.478948,162899.002,35688.999,39599.999,1.334224,544,108698.997,1764,,,,,,,
4/2/1994 00:00:00,34334,,256447.998,41278.999,,75978.999,172878.006,1417,2195,21.220135,27.874547,226156.006,51083,53278,1.31359,689,157612.999,1417,,,,,,,
4/1/1995 00:00:00,45318.001,,355130.005,59278,,106788.997,243970.993,1324,867,21.670054,28.440994,320940.002,76101.997,76968.997,1.312456,868,216638.001,1324,,,,,,,
3/30/1996 00:00:00,64599.998,,560802.002,101454.002,,207585.995,368244.011,986,250000,19.476301,33.143259,720880.005,102636.002,352636.002,1.701722,1201,357610.001,986,,,,,,,
3/29/1997 00:00:00,71074.997,,568143.005,110375.999,25.700993,192058.005,490680,0,250000,14.073428,25.700993,847693,97253,357013,1.826207,1277,353805.999,0,,,,,,,
3/28/1998 00:00:00,80456.001,,613593.018,126586.998,24.323657,206576.996,550175,0,250000,14.15225,24.323657,941238,125657,391063,1.718713,1391,382903.016,0,9.9375,20.2813,84.875,39.625,1,1,1
4/3/1999 00:00:00,94492.996,,661982.971,102592.003,14.353621,214085.999,879318,0,0,10.200618,14.353621,1070248,167197,190930,1.407132,1491,410716.965,0,21.8125,77.625,31.4375,40.071,1,1,1
4/1/2000 00:00:00,123584,,1020993,652450,49.130771,370943.002,1776655,0,0,38.167392,49.130771,2348639,244712,571984,1.287245,1939,636955,0,82.8125,33.125,42.46,23.49,0,0,0
3/31/2001 00:00:00,213195,,1659358,35258,1.908432,568203.996,1918316.04,0,0,1.453688,1.908432,2502196,350410,583880.001,1.312821,2678,979956,0,35.125,42.46,23.41,38,1,0,0
3/30/2002 00:00:00,204751.999,,1015578.979,-113607.002,,108037.998,1903740,0,0,-4.696876,-5.944811,2335360,195840,431620,1.265695,2611,457695.007,0,39.86,23.41,37.89,29.25,0,0,0
3/29/2003 00:00:00,222139,,1155977,125705,6.522542,289199.996,1950739,0,0,5.285014,6.522542,2421676,313834,470937,1.234158,2612,682426,0,24.3,38.05,28.65,26.32,1,0,0
4/3/2004 00:00:00,247608.994,,1397845.947,302989.014,13.667236,415570.007,2483062,0,0,11.307355,13.667236,2937473,381130,454411,1.208703,2770,867877.929,0,39.97,29.18,25.16,25.92,0,0,0
4/2/2005 00:00:00,307448,,1573233,312723,9.431114,442804,2673508,0,0,10.464792,12.129109,3039196,298394,365688,1.15904,3050,996949,0,28.79,25.16,25.65,24.64,0,0,0
4/1/2006 00:00:00,326100,,1726250,354149,9.492894,489276,2728885,0,0,11.400729,13.11082,3173547,345024,444662,1.149998,,1069131,0,25.46,25.65,24.59,19.39,0,0,0
3/31/2007 00:00:00,388100,4444.887,1842739,350672,10.211379,424191,1772740,0,999597,11.039742,15.579796,3179355,303369,1406615,1.411246,3353,1124096,0,25.73,23.75,19.16,25.5,0,0,0
3/29/2008 00:00:00,358063,4342.545,1841372,374047,13.590868,496149,1671823,0,1038973,11.843561,21.718111,3137107,340666,1465284,1.833748,3415,1154384,0,23.09,19.25,25.71,33,0,0,1
